date,district_in,density,subscribers,
2021-02,21,1340.33333333333,372962.333333333,
2021-02,6,771.666666666667,184072.333333333,
2021-02,48,968.333333333333,284867.666666667,
2021-03,53,813.833333333333,221322.333333333,
2021-03,19,897,210862.833333333,
2021-03,21,877.833333333333,251485,
2021-03,6,892.333333333333,274977.166666667,
2021-03,48,752.5,207704.166666667,
2021-04,53,901.25,309395.5,
2021-04,19,777.75,427732.75,
2021-04,21,894.5,313985.5,
2021-04,6,326.25,324567,
2021-04,48,940.5,136780.25,
2021-05,53,828,194719,
2021-05,19,1347,338519.666666667,
2021-05,21,735,299007.666666667,
2021-05,6,704.666666666667,203182,
2021-05,48,1124,256513.333333333,
2021-06,53,1003.2,318169.4,
2021-06,19,909,176339,
2021-06,21,866,220104.6,
2021-06,6,423.8,204802.6,
2021-06,48,546,352080.2,
2021-07,53,663.6,205872,
2021-07,19,876.8,168364,
2021-07,21,781.8,237208.6,
2021-07,6,574.8,288546.2,
2021-07,48,841,145547,
2021-08,53,694,203681.25,
2021-08,19,607.5,244714.5,
2021-08,21,897.75,171307.5,
2021-08,6,896.5,165366.75,
2021-08,48,633,294033.25,
2021-09,53,496,14896.75,
2021-09,19,521.75,307227.5,
2021-09,21,1009.25,383455,
2021-09,6,981.75,292069,
2021-09,48,657.75,300564,
2021-10,53,1170,189268.5,
2021-10,19,820.666666666667,319026.833333333,
2021-10,21,1037.33333333333,228540.5,
2021-10,6,847.333333333333,271110,
2021-10,48,764,218532,
2021-11,53,1097,238743.666666667,
2021-11,19,575.666666666667,213532.666666667,
2021-11,21,1281.33333333333,325535.333333333,
2021-11,6,1238.66666666667,407758.333333333,
2021-11,48,1087.66666666667,336927.333333333,
2021-12,53,703.5,391178,
2021-12,19,737.5,131200,
2021-12,21,939.25,271249.75,
2021-12,6,912.75,198144,
2021-12,48,536,257969.5,
2022-01,53,806.666666666667,307305.666666667,
2022-01,19,1211,279834.333333333,
2022-01,21,167.66666666667,180444,
2022-01,6,804,210255.333333333,
2022-01,48,309.666666666667,390482.666666667,
2022-02,53,961.6,281003.2,
2022-02,19,991.4,312382.4,
2022-02,21,974.4,257033.6,
2022-02,6,1020.4,278170.8,
2022-02,48,960,274403.6,
2022-03,53,648.25,196423,
2022-03,19,1393.5,182137,
2022-03,21,1170.25,287172.75,
2022-03,6,636.75,353859,
2022-03,48,1087.75,280600.75,
2022-04,53,805,378568.25,
2022-04,19,776,308987,
2022-04,21,818.75,203442.25,
2022-04,6,1100.75,193204.25,
2022-04,48,837.75,285588.25,
2022-05,53,907.75,300257.75,
2022-05,19,799.25,338197.5,
2022-05,21,923.5,206449.75,
2022-05,6,1003,217310,
2022-05,48,1023.5,131344.75,
2022-06,53,579.2,160912.4,
2022-06,19,524.2,274917,
2022-06,21,271.4,212902.4,
2022-06,6,983.8,217623.6,
2022-06,48,755.4,235199.4,
2022-07,53,845,314087.5,
2022-07,19,648.25,197492.25,
2022-07,21,732.5,105441.25,
2022-07,6,545.25,300023,
2022-07,48,986,237617.25,
2022-08,53,640,249665.5,
2022-08,19,660.5,280547.75,
2022-08,21,922.5,171285,
2022-08,6,529.5,183271.25,
2022-08,48,783.75,212754.5,
2022-09,53,905.6,220461,
2022-09,19,943,281754.6,
2022-09,21,578.6,210496.2,
2022-09,6,558.6,333512,
2022-09,48,1243.6,236051,
2022-10,53,708.333333333333,235501,
2022-10,19,976.333333333333,316741.666666667,
2022-10,21,1492,62812.3333333333,
2022-10,6,955.666666666667,421359.666666667,
2022-10,48,810.666666666667,333738.666666667,
2022-11,53,287,450611,
2022-11,19,136,74337,
2022-11,21,430,468708,
2022-11,6,1276,230723,
2022-11,48,744,216208,
2022-12,53,1317.5,300162.5,
2022-12,19,897.5,18645.5,
2022-12,21,879,290765,
2022-12,6,1200.5,313264.5,
2022-12,48,754,302867.5,
