date_from,date_to,district_out,district_in,subscriber_in ,subscriber_out,density_in,density_out,sms_in ,sms_out ,call_in,call_out ,movement 
08/01/2020,14/01/2020,Naifaru,Fuvahmulah,164257,215850,283484,216396,202403584,125905989,7817830,7248024,290959
08/01/2020,14/01/2020,Baros,Male,159942,112226,23089,348001,47455172,202440957,4357242,12919367,659445
08/01/2020,14/01/2020,Baros,Maafushi,160795,203814,382966,183567,176639086,168989947,14199073,14523184,825678
08/01/2020,14/01/2020,Baros,Naifaru,424771,182636,176471,317986,64045403,194776848,19571665,7756108,961347
08/01/2020,14/01/2020,Baros,Baros,11302,155411,109501,107480,240378552,213341060,15068929,1143363,41172
08/01/2020,14/01/2020,Baros,Fuvahmulah,171121,22641,196241,405484,147985278,89424389,1383233,16898634,629536
08/01/2020,14/01/2020,Fuvahmulah,Male,72263,341579,136609,113129,114135613,103093616,9508428,9984131,443940
08/01/2020,14/01/2020,Fuvahmulah,Maafushi,457090,322527,449764,485850,22424210,220360285,2930520,3359875,938509
08/01/2020,14/01/2020,Fuvahmulah,Naifaru,364703,59142,39255,431259,42716774,143461354,5374569,11299373,771712
08/01/2020,14/01/2020,Fuvahmulah,Baros,179769,457885,179466,177498,189520662,188385586,18811166,6055199,853595
08/01/2020,14/01/2020,Fuvahmulah,Fuvahmulah,230101,412287,379008,367694,188366605,52231728,8506060,5999581,39881
15/01/2020,21/01/2020,Male,Male,98443,73977,279647,391493,204162306,34700321,4060522,2725894,798896
15/01/2020,21/01/2020,Male,Maafushi,103632,311331,133510,427893,238100139,24517007,16534444,17924418,995381
15/01/2020,21/01/2020,Male,Naifaru,254835,298334,152854,493949,196251384,146714616,7595560,6813652,106006
15/01/2020,21/01/2020,Male,Baros,95494,459180,486798,345578,65115451,224175012,15095789,4508788,560953
15/01/2020,21/01/2020,Male,Fuvahmulah,334010,33285,312187,356930,17487215,53009022,7083734,18265980,845737
15/01/2020,21/01/2020,Maafushi,Male,276927,493982,151635,470370,1128542,123329113,2678871,7595643,1987
15/01/2020,21/01/2020,Maafushi,Maafushi,270779,278298,144821,463334,46852215,70862819,17828702,12216693,293618
15/01/2020,21/01/2020,Maafushi,Naifaru,223508,6564,46142,6693,45064533,75068154,7409758,17927500,171721
15/01/2020,21/01/2020,Maafushi,Baros,419988,409592,367891,266147,143537237,237552706,15300053,5173873,47615
15/01/2020,21/01/2020,Maafushi,Fuvahmulah,30270,125233,220871,191190,121105230,176266862,15673690,1051631,597391
15/01/2020,21/01/2020,Naifaru,Male,128750,260991,69975,454696,229309775,153121329,3862133,6999703,640825
15/01/2020,21/01/2020,Naifaru,Maafushi,9700,388078,485797,22385,240160126,223483015,6972838,15551322,775092
15/01/2020,21/01/2020,Naifaru,Naifaru,144035,366545,476960,335380,29918012,4537866,14602065,988922,679978
15/01/2020,21/01/2020,Naifaru,Baros,420179,453236,87215,420079,36703615,181721786,3892283,4166813,547492
15/01/2020,21/01/2020,Naifaru,Fuvahmulah,211517,161964,482498,266110,184999866,7608622,7573686,4586084,267493
15/01/2020,21/01/2020,Baros,Male,94226,116133,52770,206640,51082189,202295569,7570960,19301943,340148
15/01/2020,21/01/2020,Baros,Maafushi,175314,330957,10492,92863,239083018,180840762,2777206,12509109,25639
15/01/2020,21/01/2020,Baros,Naifaru,468899,271506,303640,338899,150076219,115465593,12678476,14048087,247005
15/01/2020,21/01/2020,Baros,Baros,126926,424918,190998,135428,187456280,157031813,17794879,11137128,226261
15/01/2020,21/01/2020,Baros,Fuvahmulah,307353,322378,407227,308640,96087039,205980627,17652642,14922939,451688
15/01/2020,21/01/2020,Fuvahmulah,Male,282834,224350,307638,79828,31837569,107592329,192917,3744330,818505
15/01/2020,21/01/2020,Fuvahmulah,Maafushi,34150,171919,467892,475146,182093310,235473268,3067927,873979,600185
15/01/2020,21/01/2020,Fuvahmulah,Naifaru,38569,333646,289039,84299,151587025,195355729,12235443,8371734,690634
15/01/2020,21/01/2020,Fuvahmulah,Baros,158976,360661,427668,153318,190401764,218041534,15364698,5834790,630702
15/01/2020,21/01/2020,Fuvahmulah,Fuvahmulah,382582,214014,196359,51840,155055694,161041027,16087690,14518787,823843
22/01/2020,28/01/2020,Male,Male,208126,84357,339910,97967,144619098,1304523,16691660,3471458,608081
22/01/2020,28/01/2020,Male,Maafushi,316081,310095,87592,212275,420501,229749787,14860818,18349892,63272
22/01/2020,28/01/2020,Male,Naifaru,140361,413994,471785,25273,85891300,13194978,13845217,19979508,254420
22/01/2020,28/01/2020,Male,Baros,388296,216789,217097,368082,227614206,65020964,3361675,3017057,948668
22/01/2020,28/01/2020,Male,Fuvahmulah,167737,435670,348664,341265,93341121,146811583,12054812,18648243,411591
22/01/2020,28/01/2020,Maafushi,Male,177809,117696,432400,281933,33263232,72292350,15247592,14996551,602814
22/01/2020,28/01/2020,Maafushi,Maafushi,37152,127109,181595,330729,171727764,14183821,2299607,2881767,404588
22/01/2020,28/01/2020,Maafushi,Naifaru,19290,328381,76435,345915,196595611,9381736,11780750,7783068,201790
22/01/2020,28/01/2020,Maafushi,Baros,228875,41626,428643,351229,29465762,186783030,3756765,16082361,741449
22/01/2020,28/01/2020,Maafushi,Fuvahmulah,296859,285549,452849,78369,250074310,189499605,8141123,1651125,862128
22/01/2020,28/01/2020,Naifaru,Male,480432,280867,206707,378166,31736905,131050923,9450757,3060229,368289
22/01/2020,28/01/2020,Naifaru,Maafushi,37693,257033,57958,247988,105631508,127408689,10900541,2333327,885108
22/01/2020,28/01/2020,Naifaru,Naifaru,140757,404719,368971,425961,508460,22191162,10700777,16586226,586476
22/01/2020,28/01/2020,Naifaru,Baros,113533,225539,79149,101230,54025070,42499963,10592967,2688893,797350
22/01/2020,28/01/2020,Naifaru,Fuvahmulah,183534,351864,455532,167496,200499375,34540249,6856222,6231335,706025
22/01/2020,28/01/2020,Baros,Male,145711,225890,484770,351724,191063784,21809235,14693829,3440120,952701
22/01/2020,28/01/2020,Baros,Maafushi,74776,489820,321091,277756,41851852,10731438,906003,9986748,287713
22/01/2020,28/01/2020,Baros,Naifaru,322120,465093,222996,369453,192676784,35035277,7187948,10451250,135073
22/01/2020,28/01/2020,Baros,Baros,472448,369515,345023,482789,210500273,135963492,1675196,9402134,846074
22/01/2020,28/01/2020,Baros,Fuvahmulah,36736,69327,401159,288587,201363662,187592275,411436,8573383,280011
22/01/2020,28/01/2020,Fuvahmulah,Male,346828,237334,499038,13625,144690426,242802764,11412441,5223550,986551
22/01/2020,28/01/2020,Fuvahmulah,Maafushi,402124,291931,13056,275341,217292449,87812510,14871699,3854020,813671
22/01/2020,28/01/2020,Fuvahmulah,Naifaru,432545,308013,103076,278937,157571933,27886234,14757550,11997250,346344
22/01/2020,28/01/2020,Fuvahmulah,Baros,279389,324565,308621,283457,47673964,54494135,16028891,7628787,946135
22/01/2020,28/01/2020,Fuvahmulah,Fuvahmulah,300572,85883,343919,405367,121798621,236339883,16032450,19424949,479459
29/01/2020,04/02/2020,Male,Male,55787,97302,150498,159439,130253781,232457962,9486330,14639194,500144
29/01/2020,04/02/2020,Male,Maafushi,392359,133873,270724,15094,237620216,101651696,16827659,4435507,828866
29/01/2020,04/02/2020,Male,Naifaru,464377,307854,91182,343252,171660323,24647939,18563947,10162143,227008
29/01/2020,04/02/2020,Male,Baros,146625,370841,107462,161425,106354704,146670295,19890232,13930040,568039
29/01/2020,04/02/2020,Male,Fuvahmulah,67785,42844,31988,172516,49332770,1677988,13020292,11302883,542983
29/01/2020,04/02/2020,Maafushi,Male,273730,243623,111545,139831,101712626,224299738,13055981,197221,828897
29/01/2020,04/02/2020,Maafushi,Maafushi,134021,456717,496717,201122,109748015,122065909,19063630,249682,381958
29/01/2020,04/02/2020,Maafushi,Naifaru,197580,86935,288022,196571,26486408,231303632,18587702,15152046,858992
29/01/2020,04/02/2020,Maafushi,Baros,487198,149958,141101,373001,84545297,242240891,2825310,12772820,491390
29/01/2020,04/02/2020,Maafushi,Fuvahmulah,165523,436676,465789,184274,87375027,244790723,2045848,3982304,931013
29/01/2020,04/02/2020,Naifaru,Male,90387,80314,124602,228666,125365493,107297331,19368769,13621272,578092
29/01/2020,04/02/2020,Naifaru,Maafushi,382461,134646,218344,467942,1929558,11749404,2906680,15080205,651968
29/01/2020,04/02/2020,Naifaru,Naifaru,227382,323922,9024,80076,221893375,131272744,13891106,15443175,160412
29/01/2020,04/02/2020,Naifaru,Baros,143194,189986,265514,154766,107904312,113923399,7403195,8090771,61381
29/01/2020,04/02/2020,Naifaru,Fuvahmulah,84986,401456,392426,430861,1321909,51696238,10810650,18335459,990987
29/01/2020,04/02/2020,Baros,Male,339336,250992,271584,278482,214090848,25529377,19631724,15729838,578740
29/01/2020,04/02/2020,Baros,Maafushi,33730,84136,315673,470297,54485683,49884301,10779781,11239691,730250
29/01/2020,04/02/2020,Baros,Naifaru,276776,153055,437901,369707,177154814,35066128,11063016,5825614,510555
29/01/2020,04/02/2020,Baros,Baros,366951,283324,239653,247035,173029656,34389219,11138565,19218467,827368
29/01/2020,04/02/2020,Baros,Fuvahmulah,482464,46822,478226,486979,41004980,80296695,8098504,15952320,959801
29/01/2020,04/02/2020,Fuvahmulah,Male,497072,135465,167168,165261,192285591,216984151,3930704,96700,453278
29/01/2020,04/02/2020,Fuvahmulah,Maafushi,383796,349802,262243,475436,171759394,76650614,19212531,3778089,140526
29/01/2020,04/02/2020,Fuvahmulah,Naifaru,351050,160553,235507,12864,36203925,85417106,8492602,5353562,809599
29/01/2020,04/02/2020,Fuvahmulah,Baros,410842,207283,434115,131260,27402975,131790437,15418488,2655148,685807
29/01/2020,04/02/2020,Fuvahmulah,Fuvahmulah,154148,44879,467785,174960,9337974,51970912,9580659,634727,544026
05/02/2020,11/02/2020,Male,Male,467740,101664,280788,96072,9240897,91061649,11651547,123324,410445
05/02/2020,11/02/2020,Male,Maafushi,109354,384444,426417,85628,210414527,60492929,10986691,2192081,808143
05/02/2020,11/02/2020,Male,Naifaru,317390,442934,38560,151611,87716507,50774,4276546,15573951,192018
05/02/2020,11/02/2020,Male,Baros,175543,464158,207064,16993,107405628,90505832,19920441,12186705,508768
05/02/2020,11/02/2020,Male,Fuvahmulah,489173,455861,159803,301792,72551279,13235430,4164666,3001282,916668
05/02/2020,11/02/2020,Maafushi,Male,378130,445316,17041,115899,190840414,23758838,14240006,18077982,847580
05/02/2020,11/02/2020,Maafushi,Maafushi,305747,414490,367473,173861,236019820,127965926,19671583,7922985,702779
05/02/2020,11/02/2020,Maafushi,Naifaru,46037,269398,315017,304152,13742297,116191181,18170471,3168601,122734
05/02/2020,11/02/2020,Maafushi,Baros,127903,425067,353853,216218,166344025,233516089,2748686,1617460,953111
05/02/2020,11/02/2020,Maafushi,Fuvahmulah,4973,184775,316450,168904,123297383,151910339,8585702,10722596,99692
05/02/2020,11/02/2020,Naifaru,Male,105339,482934,70722,153016,27093812,14906460,8658338,6454282,86551
05/02/2020,11/02/2020,Naifaru,Maafushi,121698,127205,253882,84466,188887885,110851752,16868132,17937662,46506
05/02/2020,11/02/2020,Naifaru,Naifaru,155605,181899,72850,5216,8983099,197274061,3413483,5420693,753686
05/02/2020,11/02/2020,Naifaru,Baros,51687,497115,301012,67630,194047858,242271158,2337250,1743914,721414
05/02/2020,11/02/2020,Naifaru,Fuvahmulah,411319,457727,405450,414407,204736106,239805850,3030370,3735344,781928
05/02/2020,11/02/2020,Baros,Male,248242,94097,340672,313943,14006722,87533006,19726533,2877855,413301
05/02/2020,11/02/2020,Baros,Maafushi,83240,6819,447851,32948,1204449,197839014,3936923,2050858,470987
05/02/2020,11/02/2020,Baros,Naifaru,283129,35104,477229,20906,89222550,100508851,12377882,807241,369326
05/02/2020,11/02/2020,Baros,Baros,443838,405306,470011,126479,41322049,146821603,7813397,16353766,305655
05/02/2020,11/02/2020,Baros,Fuvahmulah,421786,108357,439481,166997,70574487,69675246,8649620,13339040,595417
05/02/2020,11/02/2020,Fuvahmulah,Male,285846,131446,467389,240420,157895005,241348783,2373388,19294240,919930
05/02/2020,11/02/2020,Fuvahmulah,Maafushi,207922,295893,53000,259564,49898428,181391630,2739539,6863864,519374
05/02/2020,11/02/2020,Fuvahmulah,Naifaru,307534,55468,154662,239319,8238688,164806408,4325705,624105,594748
05/02/2020,11/02/2020,Fuvahmulah,Baros,376194,415959,449255,316385,178617315,38914047,13282199,8100149,603750
05/02/2020,11/02/2020,Fuvahmulah,Fuvahmulah,106730,45659,88519,119154,237470872,226526725,16294859,142867,750115
12/02/2020,18/02/2020,Male,Male,225497,427714,389891,41211,72930332,162157524,18423177,11969007,415743
12/02/2020,18/02/2020,Male,Maafushi,117981,312732,251596,111444,89550821,175212771,9547857,4557976,584127
12/02/2020,18/02/2020,Male,Naifaru,472180,148699,296663,498524,99025232,31201328,2139630,19017203,200639
12/02/2020,18/02/2020,Male,Baros,230598,107484,4300,60545,211399981,243818615,18900034,15367273,154385
12/02/2020,18/02/2020,Male,Fuvahmulah,172853,46631,205367,316113,187974362,62932326,7216906,6568087,210656
12/02/2020,18/02/2020,Maafushi,Male,18306,111450,442211,142546,64610476,58470243,14300389,1432087,167050
12/02/2020,18/02/2020,Maafushi,Maafushi,25694,404126,362706,479018,112351114,123985861,5063584,11176031,888478
12/02/2020,18/02/2020,Maafushi,Naifaru,190164,139178,476605,173628,96173307,201352121,17456941,4999414,5717
12/02/2020,18/02/2020,Maafushi,Baros,389080,269113,396130,485980,187854257,220138756,5747887,11445500,929755
12/02/2020,18/02/2020,Maafushi,Fuvahmulah,469185,177812,335687,235649,182728577,146775873,12484076,1595268,947027
12/02/2020,18/02/2020,Naifaru,Male,277242,44378,55173,175804,4147167,158841494,17776179,9974342,844949
12/02/2020,18/02/2020,Naifaru,Maafushi,321873,19202,217956,427074,65876922,148220984,19838834,7944540,223592
12/02/2020,18/02/2020,Naifaru,Naifaru,279674,251600,309320,86071,124036709,54626050,40564,16764872,929940
12/02/2020,18/02/2020,Naifaru,Baros,82752,241696,58760,185719,171208625,206952089,13619813,5967070,136915
12/02/2020,18/02/2020,Naifaru,Fuvahmulah,223134,91911,456716,388918,18873368,110805369,18514309,9503947,932299
12/02/2020,18/02/2020,Baros,Male,370405,160945,17596,68768,222646482,194966248,11076198,14150516,845494
12/02/2020,18/02/2020,Baros,Maafushi,72892,311299,10817,55470,227911729,130384395,4133040,3956780,690710
12/02/2020,18/02/2020,Baros,Naifaru,350853,354409,224426,146271,39468372,200550132,2218165,14911586,913257
12/02/2020,18/02/2020,Baros,Baros,43885,391367,277374,345425,98510499,219760975,1848477,19136902,725632
12/02/2020,18/02/2020,Baros,Fuvahmulah,378969,445238,453315,271676,249838617,126039554,2860268,8493206,705474
12/02/2020,18/02/2020,Fuvahmulah,Male,383402,111684,467711,388430,186930232,3708375,10579916,11774988,87490
12/02/2020,18/02/2020,Fuvahmulah,Maafushi,102334,177698,140946,39207,183954781,165082088,14904603,10725335,221295
12/02/2020,18/02/2020,Fuvahmulah,Naifaru,16870,400972,227138,325479,249460194,239444610,11948417,12511047,267721
12/02/2020,18/02/2020,Fuvahmulah,Baros,289036,201124,301289,493160,143066702,127084029,17934602,8193038,314896
12/02/2020,18/02/2020,Fuvahmulah,Fuvahmulah,382320,365920,249523,11811,189393594,86051906,14601748,2266109,908505
19/02/2020,25/02/2020,Male,Male,348093,15261,87794,481081,73211813,7163256,14480008,11328345,273155
19/02/2020,25/02/2020,Male,Maafushi,264040,302786,419615,407061,26879845,19999216,7880084,15235982,536478
19/02/2020,25/02/2020,Male,Naifaru,479463,210916,41729,325793,37509247,242981756,14833358,8156274,687860
19/02/2020,25/02/2020,Male,Baros,378487,352665,227819,472696,130733632,228281260,6523987,5216057,867124
19/02/2020,25/02/2020,Male,Fuvahmulah,22309,44437,395158,371629,2152052,73736379,5630022,6022860,198551
19/02/2020,25/02/2020,Maafushi,Male,390307,369914,301112,87967,211411679,16712017,129134,8179405,264159
19/02/2020,25/02/2020,Maafushi,Maafushi,46121,291447,117753,493439,81645235,126861386,15718805,8937253,954518
19/02/2020,25/02/2020,Maafushi,Naifaru,362393,209194,115496,305851,156409331,12693538,7098270,3469210,252292
19/02/2020,25/02/2020,Maafushi,Baros,137562,159389,246213,6101,203997907,37548093,2313362,15943602,186704
19/02/2020,25/02/2020,Maafushi,Fuvahmulah,492062,362899,146341,429187,193656411,20319075,1175684,11233303,769834
19/02/2020,25/02/2020,Naifaru,Male,247774,17539,435349,74726,155061484,208451658,1739300,835756,12466
19/02/2020,25/02/2020,Naifaru,Maafushi,296899,125311,213154,74015,143641607,174084205,1470370,6423002,931845
19/02/2020,25/02/2020,Naifaru,Naifaru,256714,143137,338772,243273,182526347,83207371,19872259,14090763,824149
19/02/2020,25/02/2020,Naifaru,Baros,462151,59237,170585,140049,101199212,57105128,17088477,19499637,826452
19/02/2020,25/02/2020,Naifaru,Fuvahmulah,20324,270646,484780,94757,77075650,73621057,416476,16597218,140547
19/02/2020,25/02/2020,Baros,Male,165603,247012,30054,145441,183913618,86075593,1560442,17129526,406307
19/02/2020,25/02/2020,Baros,Maafushi,412306,102092,161515,202491,40395246,197741825,7167090,9287960,76789
19/02/2020,25/02/2020,Baros,Naifaru,429614,274055,138042,165582,177313812,157776143,1072724,11088682,889373
19/02/2020,25/02/2020,Baros,Baros,286164,204117,308853,170526,156616836,25508834,9418754,15051589,74042
19/02/2020,25/02/2020,Baros,Fuvahmulah,328263,416767,86355,55646,233521008,237503482,14662849,10858424,427080
19/02/2020,25/02/2020,Fuvahmulah,Male,95078,121981,91901,275131,79545014,248565469,19580804,952857,766766
19/02/2020,25/02/2020,Fuvahmulah,Maafushi,404397,232302,472324,410042,192710067,120545115,13870189,13543141,496818
19/02/2020,25/02/2020,Fuvahmulah,Naifaru,86839,314057,485228,258024,194161208,98081108,8249283,16315331,956461
19/02/2020,25/02/2020,Fuvahmulah,Baros,474751,148078,39654,140416,61656514,90332612,3604477,2750626,850737
19/02/2020,25/02/2020,Fuvahmulah,Fuvahmulah,460889,337340,56060,181424,45278194,207157297,8789083,4777661,213734
26/02/2020,03/03/2020,Male,Male,344073,285602,204439,369847,47824592,23516641,18460686,4600708,672626
26/02/2020,03/03/2020,Male,Maafushi,60758,250040,189828,380785,39728920,206853987,8915068,4729948,868181
26/02/2020,03/03/2020,Male,Naifaru,474699,229724,4121,464060,71591003,177060224,12250100,710784,696772
26/02/2020,03/03/2020,Male,Baros,227732,378304,312630,183310,43307917,41946243,465253,2224282,888871
26/02/2020,03/03/2020,Male,Fuvahmulah,55595,127225,93338,453086,237050279,80275176,19963846,1653775,870860
26/02/2020,03/03/2020,Maafushi,Male,218583,85860,411255,491614,110861648,140709716,10710062,5335148,880303
26/02/2020,03/03/2020,Maafushi,Maafushi,240842,258931,297148,477467,84865719,133880094,7394009,1568175,706865
26/02/2020,03/03/2020,Maafushi,Naifaru,44339,373426,254128,279839,197928072,237192658,7149897,9965200,517212
26/02/2020,03/03/2020,Maafushi,Baros,151419,48189,268748,261990,53834133,23283297,7624141,18719422,741070
26/02/2020,03/03/2020,Maafushi,Fuvahmulah,498132,70217,479680,337507,221272042,238341099,18517594,1929039,779045
26/02/2020,03/03/2020,Naifaru,Male,111020,248567,410134,445236,161789641,157532802,4618519,16196440,421501
26/02/2020,03/03/2020,Naifaru,Maafushi,91026,301035,322638,416940,131225952,218151143,14621431,9980103,615940
26/02/2020,03/03/2020,Naifaru,Naifaru,274603,398101,61034,493139,182995640,201096110,14499675,4954090,911704
26/02/2020,03/03/2020,Naifaru,Baros,399806,43861,173073,71113,223377203,135151348,13299347,13240125,792226
26/02/2020,03/03/2020,Naifaru,Fuvahmulah,52002,385831,12080,445363,91399560,214236975,19708042,16950159,329648
26/02/2020,03/03/2020,Baros,Male,1687,134662,198334,283518,247766155,44607907,1853689,5183371,178833
26/02/2020,03/03/2020,Baros,Maafushi,115677,74636,229358,250366,62866624,210791002,10861762,5090185,341512
26/02/2020,03/03/2020,Baros,Naifaru,11618,296885,220758,386060,177955278,124261019,2786868,17433784,835327
26/02/2020,03/03/2020,Baros,Baros,310241,213538,23188,354849,249124418,157175457,13300198,14386195,814702
26/02/2020,03/03/2020,Baros,Fuvahmulah,75558,147145,120448,110052,42357997,7282390,6496164,293780,633475
26/02/2020,03/03/2020,Fuvahmulah,Male,47144,42440,308019,443285,16238709,210730290,18564101,1060444,585043
26/02/2020,03/03/2020,Fuvahmulah,Maafushi,229512,190108,304543,434352,38392242,74098705,9855354,8893943,543419
26/02/2020,03/03/2020,Fuvahmulah,Naifaru,376356,100019,423381,347949,89940590,106197649,6109450,15990329,872182
26/02/2020,03/03/2020,Fuvahmulah,Baros,444827,401127,282862,469046,67760427,241252559,16253366,12543403,391865
26/02/2020,03/03/2020,Fuvahmulah,Fuvahmulah,252802,240525,431755,137471,169298743,154551763,16485122,13088303,344930
04/03/2020,10/03/2020,Male,Male,22419,486396,328431,303536,117983356,36323056,1002594,15807119,148652
04/03/2020,10/03/2020,Male,Maafushi,345962,96700,328052,144122,49794037,35093488,7511422,18269091,705173
04/03/2020,10/03/2020,Male,Naifaru,374423,59389,363724,68577,82382249,38463631,5807344,3004229,694364
04/03/2020,10/03/2020,Male,Baros,243010,253530,258633,49878,155300977,232580992,16455836,4032861,729408
04/03/2020,10/03/2020,Male,Fuvahmulah,385208,174538,18468,105392,207415300,226295253,11939408,16254133,112791
04/03/2020,10/03/2020,Maafushi,Male,414324,375796,39108,145360,144887222,118504956,2280807,4323706,821769
04/03/2020,10/03/2020,Maafushi,Maafushi,318248,335954,61444,406463,240991744,158620844,7470922,10514678,309533
04/03/2020,10/03/2020,Maafushi,Naifaru,211359,54071,378251,47136,111998777,37894347,4601202,4484649,800899
04/03/2020,10/03/2020,Maafushi,Baros,2146,31676,49768,234813,167908105,90470043,14953344,1047176,117921
04/03/2020,10/03/2020,Maafushi,Fuvahmulah,118186,296137,241595,181970,244034470,86079979,15956122,1294862,135499
04/03/2020,10/03/2020,Naifaru,Male,65612,223632,15327,51404,205715706,125602456,6699354,12636318,384530
04/03/2020,10/03/2020,Naifaru,Maafushi,27426,263857,238429,214412,101222328,139383010,19840572,12135048,789657
04/03/2020,10/03/2020,Naifaru,Naifaru,21659,475855,444088,5741,93271486,4855632,10783347,10535913,94373
04/03/2020,10/03/2020,Naifaru,Baros,13762,489371,472200,213093,116217062,201451779,10234478,16398783,630838
04/03/2020,10/03/2020,Naifaru,Fuvahmulah,64975,390545,42160,154011,162151675,144019762,7604966,2499213,613904
04/03/2020,10/03/2020,Baros,Male,447084,100291,470783,311268,176634278,245515487,11780219,11798394,428825
04/03/2020,10/03/2020,Baros,Maafushi,493668,56920,299028,215936,174947608,6737038,1169969,16328054,67167
04/03/2020,10/03/2020,Baros,Naifaru,312074,229216,28911,294844,238706910,76925102,251144,2072228,316823
04/03/2020,10/03/2020,Baros,Baros,494526,454274,146952,184346,116583080,61063258,8888043,4450090,327567
04/03/2020,10/03/2020,Baros,Fuvahmulah,216879,233188,124358,47809,172146072,209064555,9463790,1317444,694102
04/03/2020,10/03/2020,Fuvahmulah,Male,182721,244124,121279,197739,175462306,157916472,144559,12236384,514897
04/03/2020,10/03/2020,Fuvahmulah,Maafushi,377368,64499,472642,248035,6516554,28958435,6176184,4887833,14305
