date_from,date_to,district_in,density,subscribers
06/05/2020,12/05/2020,21,912,494280
06/05/2020,12/05/2020,48,16,262766
06/05/2020,12/05/2020,53,1689,423794
06/05/2020,12/05/2020,19,759,364843
13/05/2020,19/05/2020,6,622,393363
13/05/2020,19/05/2020,21,371,374414
13/05/2020,19/05/2020,48,996,73933
13/05/2020,19/05/2020,53,689,307330
13/05/2020,19/05/2020,19,719,312284
20/05/2020,21/05/2020,6,750,358887
20/05/2020,21/05/2020,21,1639,363214
20/05/2020,21/05/2020,48,256,87738
20/05/2020,21/05/2020,53,1170,178284
20/05/2020,21/05/2020,19,442,1435
27/05/2020,02/06/2020,6,501,389980
27/05/2020,02/06/2020,21,425,488213
27/05/2020,02/06/2020,48,1575,366715
27/05/2020,02/06/2020,53,1388,75391
27/05/2020,02/06/2020,19,1083,38186
03/06/2020,09/06/2020,6,463,363214
03/06/2020,09/06/2020,21,917,371020
03/06/2020,09/06/2020,48,1245,437317
03/06/2020,09/06/2020,53,1183,210855
03/06/2020,09/06/2020,19,1303,309993
10/06/2020,16/06/2020,6,65,262311
10/06/2020,16/06/2020,21,957,266386
10/06/2020,16/06/2020,48,389,261524
10/06/2020,16/06/2020,53,55,23208
10/06/2020,16/06/2020,19,726,228468
17/06/2020,23/06/2020,6,1541,426721
17/06/2020,23/06/2020,21,1064,83289
17/06/2020,23/06/2020,48,260,415051
17/06/2020,23/06/2020,53,728,355593
17/06/2020,23/06/2020,19,268,27478
24/06/2020,30/06/2020,6,1523,181184
24/06/2020,30/06/2020,21,432,48664
24/06/2020,30/06/2020,48,750,348845
24/06/2020,30/06/2020,53,395,41496
24/06/2020,30/06/2020,19,1549,192731
01/07/2020,07/07/2020,6,266,491930
01/07/2020,07/07/2020,21,1024,384990
01/07/2020,07/07/2020,48,429,162114
01/07/2020,07/07/2020,53,1317,320197
01/07/2020,07/07/2020,19,595,8476
08/07/2020,14/07/2020,6,190,291265
08/07/2020,14/07/2020,21,1227,98876
08/07/2020,14/07/2020,48,1429,125457
08/07/2020,14/07/2020,53,1456,475470
08/07/2020,14/07/2020,19,683,380814
6/07/2020,21/07/2020,6,840,396251
6/07/2020,21/07/2020,21,196,309816
6/07/2020,21/07/2020,48,389,3995
6/07/2020,21/07/2020,53,330,112931
6/07/2020,21/07/2020,19,314,10631
22/07/2020,28/07/2020,6,692,302448
22/07/2020,28/07/2020,21,101,435157
22/07/2020,28/07/2020,48,929,281641
22/07/2020,28/07/2020,53,1325,308277
22/07/2020,28/07/2020,19,953,483552
29/07/2020,04/08/2020,6,808,411628
29/07/2020,04/08/2020,21,1363,393124
29/07/2020,04/08/2020,48,950,353770
29/07/2020,04/08/2020,53,159,24658
29/07/2020,04/08/2020,19,183,216105
05/08/2020,11/08/2020,6,748,89226
05/08/2020,11/08/2020,21,212,175516
05/08/2020,11/08/2020,48,254,111584
05/08/2020,11/08/2020,53,854,107215
05/08/2020,11/08/2020,19,665,89047
12/08/2020,18/08/2020,6,146,133392
12/08/2020,18/08/2020,21,1357,283284
12/08/2020,18/08/2020,48,125,109556
12/08/2020,18/08/2020,53,1558,251581
12/08/2020,18/08/2020,19,1408,73864
19/08/2020,25/08/2020,6,369,431759
19/08/2020,25/08/2020,21,987,389839
19/08/2020,25/08/2020,48,788,211776
19/08/2020,25/08/2020,53,462,117882
19/08/2020,25/08/2020,19,1257,446729
21/08/2020,01/09/2020,6,674,84898
21/08/2020,01/09/2020,21,686,165197
21/08/2020,01/09/2020,48,1516,353564
21/08/2020,01/09/2020,53,180,93944
21/08/2020,01/09/2020,19,592,395532
02/09/2020,08/09/2020,6,194,64139
02/09/2020,08/09/2020,21,184,170186
02/09/2020,08/09/2020,48,1481,136948
02/09/2020,08/09/2020,53,713,265099
02/09/2020,08/09/2020,19,1062,220077
09/09/2020,6/09/2020,6,14,416438
09/09/2020,6/09/2020,21,1207,237652
09/09/2020,6/09/2020,48,881,296582
09/09/2020,6/09/2020,53,455,12500
09/09/2020,6/09/2020,19,1609,46426
16/09/2020,22/09/2020,6,1003,257030
16/09/2020,22/09/2020,21,253,381104
16/09/2020,22/09/2020,48,1524,112780
16/09/2020,22/09/2020,53,239,385455
16/09/2020,22/09/2020,19,783,400670
23/09/2020,29/09/2020,6,474,93957
23/09/2020,29/09/2020,21,1452,227552
23/09/2020,29/09/2020,48,1654,4073
23/09/2020,29/09/2020,53,600,294341
23/09/2020,29/09/2020,19,629,449494
30/09/2020,06/10/2020,6,182,324229
30/09/2020,06/10/2020,21,198,259873
30/09/2020,06/10/2020,48,92,445653
30/09/2020,06/10/2020,53,1198,116893
30/09/2020,06/10/2020,19,1652,473363
07/10/2020,13/10/2020,6,18,225849
07/10/2020,13/10/2020,21,1033,27389
07/10/2020,13/10/2020,48,1553,194669
07/10/2020,13/10/2020,53,435,295841
07/10/2020,13/10/2020,19,12,460506
14/10/2020,20/10/2020,6,1372,247422
14/10/2020,20/10/2020,21,1372,255561
14/10/2020,20/10/2020,48,152,268722
14/10/2020,20/10/2020,53,482,462581
14/10/2020,20/10/2020,19,135,231200
21/10/2020,27/10/2020,6,1600,247527
21/10/2020,27/10/2020,21,33,68361
21/10/2020,27/10/2020,48,1105,83937
21/10/2020,27/10/2020,53,644,281771
21/10/2020,27/10/2020,19,684,364232
28/10/2020,03/11/2020,6,257,160860
28/10/2020,03/11/2020,21,1193,12241
28/10/2020,03/11/2020,48,1525,74995
28/10/2020,03/11/2020,53,228,60355
28/10/2020,03/11/2020,19,995,8576
04/11/2020,10/11/2020,6,637,331454
04/11/2020,10/11/2020,21,136,173065
04/11/2020,10/11/2020,48,1457,281601
04/11/2020,10/11/2020,53,1549,251441
04/11/2020,10/11/2020,19,1502,101367
11/11/2020,17/11/2020,6,783,456726
11/11/2020,17/11/2020,21,602,165925
11/11/2020,17/11/2020,48,1313,120276
11/11/2020,17/11/2020,53,800,498864
11/11/2020,17/11/2020,19,13,206802
18/11/2020,24/11/2020,6,696,23627
18/11/2020,24/11/2020,21,685,498928
18/11/2020,24/11/2020,48,333,460351
18/11/2020,24/11/2020,53,601,102042
18/11/2020,24/11/2020,19,1559,96843
25/11/2020,01/12/2020,6,1155,455935
25/11/2020,01/12/2020,21,299,25809
25/11/2020,01/12/2020,48,398,242828
25/11/2020,01/12/2020,53,249,222447
25/11/2020,01/12/2020,19,1471,430166
02/12/2020,08/12/2020,6,1248,442625
02/12/2020,08/12/2020,21,1145,261441
02/12/2020,08/12/2020,48,693,202470
02/12/2020,08/12/2020,53,1575,362878
02/12/2020,08/12/2020,19,1038,434292
09/12/2020,6/12/2020,6,479,328339
09/12/2020,6/12/2020,21,190,49358
09/12/2020,6/12/2020,48,626,454426
09/12/2020,6/12/2020,53,362,191058
09/12/2020,6/12/2020,19,331,459571
16/12/2020,22/12/2020,6,1389,483297
16/12/2020,22/12/2020,21,1202,484068
16/12/2020,22/12/2020,48,1493,282739
16/12/2020,22/12/2020,53,855,41866
16/12/2020,22/12/2020,19,786,148741
23/12/2020,29/12/2020,6,1,216100
23/12/2020,29/12/2020,21,593,460768
23/12/2020,29/12/2020,48,1448,499571
23/12/2020,29/12/2020,53,589,53409
23/12/2020,29/12/2020,19,112,494504
30/12/2020,05/01/2021,6,1318,483725
30/12/2020,05/01/2021,21,1688,373737
30/12/2020,05/01/2021,48,1029,486992
30/12/2020,05/01/2021,53,1423,34149
30/12/2020,05/01/2021,19,960,35073
06/01/2021,12/01/2021,6,427,218047
06/01/2021,12/01/2021,21,1580,60098
06/01/2021,12/01/2021,48,116,215411
06/01/2021,12/01/2021,53,751,466729
06/01/2021,12/01/2021,19,957,87700
13/01/2021,19/01/2021,6,204,88865
13/01/2021,19/01/2021,21,651,38067
13/01/2021,19/01/2021,48,1412,267481
13/01/2021,19/01/2021,53,277,200178
13/01/2021,19/01/2021,19,1397,421466
20/01/2021,21/01/2021,6,1609,224693
20/01/2021,21/01/2021,21,1476,474665
20/01/2021,21/01/2021,48,1229,69600
20/01/2021,21/01/2021,53,741,296928
20/01/2021,21/01/2021,19,1312,228405
27/01/2021,02/02/2021,6,468,401190
27/01/2021,02/02/2021,21,95,261683
27/01/2021,02/02/2021,48,576,319750
27/01/2021,02/02/2021,53,1605,117087
27/01/2021,02/02/2021,19,469,498456
03/02/2021,09/02/2021,6,607,42867
03/02/2021,09/02/2021,21,1135,230504
03/02/2021,09/02/2021,48,1413,326364
03/02/2021,09/02/2021,53,648,411233
03/02/2021,09/02/2021,19,283,237230
10/02/2021,16/02/2021,6,350,405580
10/02/2021,16/02/2021,21,477,190367
10/02/2021,16/02/2021,48,60,36147
10/02/2021,16/02/2021,53,930,273736
10/02/2021,16/02/2021,19,1378,235412
17/02/2021,23/02/2021,6,139,11794
17/02/2021,23/02/2021,21,1444,455854
17/02/2021,23/02/2021,48,1484,37645
17/02/2021,23/02/2021,53,1444,433743
17/02/2021,23/02/2021,19,843,28462
24/02/2021,02/03/2021,6,491,138073
24/02/2021,02/03/2021,21,1356,407017
24/02/2021,02/03/2021,48,1369,481562
24/02/2021,02/03/2021,53,311,384831
24/02/2021,02/03/2021,19,574,422838
03/03/2021,09/03/2021,6,942,382983
03/03/2021,09/03/2021,21,23,124424
03/03/2021,09/03/2021,48,258,292413
03/03/2021,09/03/2021,53,1000,18281
03/03/2021,09/03/2021,19,1201,197802
10/03/2021,16/03/2021,6,869,275511
10/03/2021,16/03/2021,21,875,254246
10/03/2021,16/03/2021,48,650,199534
10/03/2021,16/03/2021,53,1563,303959
10/03/2021,16/03/2021,19,511,449880
17/03/2021,23/03/2021,6,1295,440527
17/03/2021,23/03/2021,21,1129,81099
17/03/2021,23/03/2021,48,877,114267
17/03/2021,23/03/2021,53,1356,385983
17/03/2021,23/03/2021,19,1608,396227
24/03/2021,30/03/2021,6,1386,402020
24/03/2021,30/03/2021,21,1613,352402
24/03/2021,30/03/2021,48,916,54736
24/03/2021,30/03/2021,53,369,41736
24/03/2021,30/03/2021,19,183,100910
31/03/2021,06/04/2021,6,329,16887
31/03/2021,06/04/2021,21,437,431447
31/03/2021,06/04/2021,48,34,390807
31/03/2021,06/04/2021,53,1055,433235
31/03/2021,06/04/2021,19,1430,262
07/04/2021,13/04/2021,6,204,11751
07/04/2021,13/04/2021,21,340,431406
07/04/2021,13/04/2021,48,1552,76349
07/04/2021,13/04/2021,53,810,374251
07/04/2021,13/04/2021,19,498,34181
14/04/2021,20/04/2021,6,37,349824
14/04/2021,20/04/2021,21,173,100619
14/04/2021,20/04/2021,48,1118,180644
14/04/2021,20/04/2021,53,1216,415319
14/04/2021,20/04/2021,19,1077,343824
21/04/2021,27/04/2021,6,257,460222
21/04/2021,27/04/2021,21,992,479518
21/04/2021,27/04/2021,48,591,60491
21/04/2021,27/04/2021,53,826,473705
21/04/2021,27/04/2021,19,1464,457660
28/04/2021,04/05/2021,6,84,400680
28/04/2021,04/05/2021,21,816,498615
28/04/2021,04/05/2021,48,402,73105
28/04/2021,04/05/2021,53,80,124512
28/04/2021,04/05/2021,19,174,478066
05/05/2021,11/05/2021,6,66,98530
05/05/2021,11/05/2021,21,969,345078
05/05/2021,11/05/2021,48,1403,293514
05/05/2021,11/05/2021,53,959,227718
05/05/2021,11/05/2021,19,1237,200090
12/05/2021,18/05/2021,6,1513,272158
12/05/2021,18/05/2021,21,122,499466
12/05/2021,18/05/2021,48,621,482134
12/05/2021,18/05/2021,53,807,342695
12/05/2021,18/05/2021,19,551,10171
19/05/2021,25/05/2021,6,901,238480
19/05/2021,25/05/2021,21,717,139023
19/05/2021,25/05/2021,48,438,224923
19/05/2021,25/05/2021,53,895,139759
19/05/2021,25/05/2021,19,1390,494145
21/05/2021,01/06/2021,6,1147,272536
21/05/2021,01/06/2021,21,519,412922
21/05/2021,01/06/2021,48,1531,251103
21/05/2021,01/06/2021,53,630,216680
21/05/2021,01/06/2021,19,1414,321324
02/06/2021,08/06/2021,6,1685,402350
02/06/2021,08/06/2021,21,1221,256016
02/06/2021,08/06/2021,48,52,335396
02/06/2021,08/06/2021,53,1,31262
02/06/2021,08/06/2021,19,1055,238464
09/06/2021,6/06/2021,6,360,69943
09/06/2021,6/06/2021,21,1437,499747
09/06/2021,6/06/2021,48,1477,151965
09/06/2021,6/06/2021,53,221,94148
09/06/2021,6/06/2021,19,56,408052
16/06/2021,22/06/2021,6,464,279770
16/06/2021,22/06/2021,21,614,58137
16/06/2021,22/06/2021,48,910,324957
16/06/2021,22/06/2021,53,1476,337263
16/06/2021,22/06/2021,19,1426,388262
23/06/2021,29/06/2021,6,135,177673
23/06/2021,29/06/2021,21,649,282497
23/06/2021,29/06/2021,48,744,495380
23/06/2021,29/06/2021,53,1331,254139
23/06/2021,29/06/2021,19,1017,245843
30/06/2021,06/07/2021,6,911,161609
30/06/2021,06/07/2021,21,1460,252695
30/06/2021,06/07/2021,48,384,455908
30/06/2021,06/07/2021,53,150,111286
30/06/2021,06/07/2021,19,1126,83871
07/07/2021,13/07/2021,6,1547,452017
07/07/2021,13/07/2021,21,495,335788
07/07/2021,13/07/2021,48,407,214481
07/07/2021,13/07/2021,53,1628,167069
07/07/2021,13/07/2021,19,1287,98702
14/07/2021,20/07/2021,6,39,396206
14/07/2021,20/07/2021,21,869,158676
14/07/2021,20/07/2021,48,432,143625
14/07/2021,20/07/2021,53,214,13485
14/07/2021,20/07/2021,19,715,285942
21/07/2021,27/07/2021,6,1040,289365
21/07/2021,27/07/2021,21,977,11275
21/07/2021,27/07/2021,48,1015,105153
21/07/2021,27/07/2021,53,1,235635
21/07/2021,27/07/2021,19,1449,22381
28/07/2021,03/08/2021,6,44,293392
28/07/2021,03/08/2021,21,1228,248898
28/07/2021,03/08/2021,48,799,188127
28/07/2021,03/08/2021,53,665,238920
28/07/2021,03/08/2021,19,435,400614
04/08/2021,10/08/2021,6,927,87542
04/08/2021,10/08/2021,21,1597,177190
04/08/2021,10/08/2021,48,1651,232881
04/08/2021,10/08/2021,53,1483,224046
04/08/2021,10/08/2021,19,396,431381
11/08/2021,17/08/2021,6,1577,274866
11/08/2021,17/08/2021,21,1580,400378
11/08/2021,17/08/2021,48,633,339923
11/08/2021,17/08/2021,53,1476,58949
11/08/2021,17/08/2021,19,115,38752
18/08/2021,24/08/2021,6,499,83695
18/08/2021,24/08/2021,21,1220,34147
18/08/2021,24/08/2021,48,546,306836
18/08/2021,24/08/2021,53,696,106048
18/08/2021,24/08/2021,19,86,281951
25/08/2021,31/08/2021,6,1684,331888
25/08/2021,31/08/2021,21,765,233832
25/08/2021,31/08/2021,48,1188,232894
25/08/2021,31/08/2021,53,388,363336
25/08/2021,31/08/2021,19,172,233889
01/09/2021,07/09/2021,6,918,216571
01/09/2021,07/09/2021,21,337,136578
01/09/2021,07/09/2021,48,612,374561
01/09/2021,07/09/2021,53,1059,170360
01/09/2021,07/09/2021,19,324,184917
08/09/2021,14/09/2021,6,454,19859
08/09/2021,14/09/2021,21,296,202660
08/09/2021,14/09/2021,48,785,337508
08/09/2021,14/09/2021,53,695,36506
08/09/2021,14/09/2021,19,1678,302256
6/09/2021,21/09/2021,6,745,464994
6/09/2021,21/09/2021,21,1049,390366
6/09/2021,21/09/2021,48,109,454663
6/09/2021,21/09/2021,53,215,131542
6/09/2021,21/09/2021,19,796,360933
22/09/2021,28/09/2021,6,1421,461621
22/09/2021,28/09/2021,21,1118,146360
22/09/2021,28/09/2021,48,728,364414
22/09/2021,28/09/2021,53,1099,218491
22/09/2021,28/09/2021,19,772,139608
29/09/2021,05/10/2021,6,1401,171718
29/09/2021,05/10/2021,21,433,497347
29/09/2021,05/10/2021,48,317,231214
29/09/2021,05/10/2021,53,449,151482
29/09/2021,05/10/2021,19,463,320317
06/10/2021,12/10/2021,6,182,186914
06/10/2021,12/10/2021,21,27,447096
06/10/2021,12/10/2021,48,576,268745
06/10/2021,12/10/2021,53,1308,421430
06/10/2021,12/10/2021,19,19,76019
13/10/2021,19/10/2021,6,556,250835
13/10/2021,19/10/2021,21,1561,34165
13/10/2021,19/10/2021,48,145,459117
13/10/2021,19/10/2021,53,1266,292782
13/10/2021,19/10/2021,19,204,252003
20/10/2021,21/10/2021,6,1397,218587
20/10/2021,21/10/2021,21,281,184986
20/10/2021,21/10/2021,48,1545,7090
20/10/2021,21/10/2021,53,42,3626
20/10/2021,21/10/2021,19,1652,299561
27/10/2021,02/11/2021,6,384,233441
27/10/2021,02/11/2021,21,1337,397278
27/10/2021,02/11/2021,48,512,303873
27/10/2021,02/11/2021,53,1668,65821
27/10/2021,02/11/2021,19,570,280988
03/11/2021,09/11/2021,6,795,364579
03/11/2021,09/11/2021,21,930,289034
03/11/2021,09/11/2021,48,1017,67638
03/11/2021,09/11/2021,53,455,37466
03/11/2021,09/11/2021,19,677,332746
10/11/2021,16/11/2021,6,1528,242706
10/11/2021,16/11/2021,21,1693,310201
10/11/2021,16/11/2021,48,1672,305431
10/11/2021,16/11/2021,53,1551,195687
10/11/2021,16/11/2021,19,609,396317
17/11/2021,23/11/2021,6,1123,480249
17/11/2021,23/11/2021,21,788,406745
17/11/2021,23/11/2021,48,1355,429453
17/11/2021,23/11/2021,53,479,174685
17/11/2021,23/11/2021,19,475,337712
24/11/2021,30/11/2021,6,1016,468160
24/11/2021,30/11/2021,21,1476,169483
24/11/2021,30/11/2021,48,1275,241406
24/11/2021,30/11/2021,53,1336,482597
24/11/2021,30/11/2021,19,1137,264134
01/12/2021,07/12/2021,6,349,469833
01/12/2021,07/12/2021,21,1088,236137
01/12/2021,07/12/2021,48,852,57958
01/12/2021,07/12/2021,53,1593,27777
01/12/2021,07/12/2021,19,1242,365688
08/12/2021,14/12/2021,6,949,226025
08/12/2021,14/12/2021,21,1310,214591
08/12/2021,14/12/2021,48,13,298895
08/12/2021,14/12/2021,53,997,308835
08/12/2021,14/12/2021,19,494,160762
6/12/2021,21/12/2021,6,362,2791
6/12/2021,21/12/2021,21,1623,344860
6/12/2021,21/12/2021,48,6,212370
6/12/2021,21/12/2021,53,1173,459965
6/12/2021,21/12/2021,19,464,4350
22/12/2021,28/12/2021,6,1252,310730
22/12/2021,28/12/2021,21,1620,145297
22/12/2021,28/12/2021,48,241,29170
22/12/2021,28/12/2021,53,717,377867
22/12/2021,28/12/2021,19,1234,360453
29/12/2021,04/01/2022,6,524,206897
29/12/2021,04/01/2022,21,392,95376
29/12/2021,04/01/2022,48,1267,308204
29/12/2021,04/01/2022,53,117,384185
29/12/2021,04/01/2022,19,701,149826
05/01/2022,11/01/2022,6,1644,456794
05/01/2022,11/01/2022,21,983,60820
05/01/2022,11/01/2022,48,366,127081
05/01/2022,11/01/2022,53,463,282892
05/01/2022,11/01/2022,19,925,426904
12/01/2022,18/01/2022,6,1362,239894
12/01/2022,18/01/2022,21,1483,479776
12/01/2022,18/01/2022,48,1346,260119
12/01/2022,18/01/2022,53,1536,210427
12/01/2022,18/01/2022,19,1019,36091
19/01/2022,25/01/2022,6,1470,224754
19/01/2022,25/01/2022,21,1083,454526
19/01/2022,25/01/2022,48,18,318045
19/01/2022,25/01/2022,53,690,475806
19/01/2022,25/01/2022,19,1524,206923
21/01/2022,01/02/2022,6,138,198213
21/01/2022,01/02/2022,21,1302,16331
21/01/2022,01/02/2022,48,40,480669
21/01/2022,01/02/2022,53,756,321338
21/01/2022,01/02/2022,19,1266,495363
02/02/2022,08/02/2022,6,1655,224775
02/02/2022,08/02/2022,21,1649,330028
02/02/2022,08/02/2022,48,1218,379320
02/02/2022,08/02/2022,53,1573,307077
02/02/2022,08/02/2022,19,1538,125216
09/02/2022,6/02/2022,6,207,315405
09/02/2022,6/02/2022,21,430,411236
09/02/2022,6/02/2022,48,1037,237464
09/02/2022,6/02/2022,53,764,84004
09/02/2022,6/02/2022,19,1019,133020
16/02/2022,22/02/2022,6,829,48234
16/02/2022,22/02/2022,21,483,212132
16/02/2022,22/02/2022,48,802,251767
16/02/2022,22/02/2022,53,250,58481
16/02/2022,22/02/2022,19,793,484118
23/02/2022,01/03/2022,6,155,434574
23/02/2022,01/03/2022,21,1068,352769
23/02/2022,01/03/2022,48,720,89734
23/02/2022,01/03/2022,53,983,323346
23/02/2022,01/03/2022,19,906,295079
02/03/2022,08/03/2022,6,1090,476455
02/03/2022,08/03/2022,21,1084,219598
02/03/2022,08/03/2022,48,883,300283
02/03/2022,08/03/2022,53,1059,273625
02/03/2022,08/03/2022,19,1292,321038
09/03/2022,6/03/2022,6,457,424184
09/03/2022,6/03/2022,21,85,30582
09/03/2022,6/03/2022,48,1561,165279
09/03/2022,6/03/2022,53,1623,96675
09/03/2022,6/03/2022,19,1688,496997
16/03/2022,22/03/2022,6,509,180561
16/03/2022,22/03/2022,21,1694,409761
16/03/2022,22/03/2022,48,1492,464008
16/03/2022,22/03/2022,53,1035,356426
16/03/2022,22/03/2022,19,1254,31924
23/03/2022,29/03/2022,6,360,364900
23/03/2022,29/03/2022,21,464,273282
23/03/2022,29/03/2022,48,1618,343136
23/03/2022,29/03/2022,53,574,135267
23/03/2022,29/03/2022,19,1228,211573
30/03/2022,05/04/2022,6,1576,440078
30/03/2022,05/04/2022,21,1464,20418
30/03/2022,05/04/2022,48,608,159216
30/03/2022,05/04/2022,53,329,158071
30/03/2022,05/04/2022,19,1502,399590
06/04/2022,12/04/2022,6,387,295327
06/04/2022,12/04/2022,21,754,385040
06/04/2022,12/04/2022,48,124,142921
06/04/2022,12/04/2022,53,1671,268855
06/04/2022,12/04/2022,19,715,381823
13/04/2022,19/04/2022,6,580,288365
13/04/2022,19/04/2022,21,652,148407
13/04/2022,19/04/2022,48,865,5492
13/04/2022,19/04/2022,53,722,489603
13/04/2022,19/04/2022,19,1402,50878
20/04/2022,21/04/2022,6,878,43618
20/04/2022,21/04/2022,21,479,274424
20/04/2022,21/04/2022,48,1090,388764
20/04/2022,21/04/2022,53,541,387773
20/04/2022,21/04/2022,19,1491,386209
27/04/2022,03/05/2022,6,1390,138324
27/04/2022,03/05/2022,21,1652,334609
27/04/2022,03/05/2022,48,1325,418544
27/04/2022,03/05/2022,53,1011,434784
27/04/2022,03/05/2022,19,136,358786
04/05/2022,10/05/2022,6,1555,302510
04/05/2022,10/05/2022,21,492,56329
04/05/2022,10/05/2022,48,71,329553
04/05/2022,10/05/2022,53,946,202113
04/05/2022,10/05/2022,19,75,440075
11/05/2022,17/05/2022,6,1276,230723
11/05/2022,17/05/2022,21,430,468708
11/05/2022,17/05/2022,48,744,216208
11/05/2022,17/05/2022,53,287,450611
11/05/2022,17/05/2022,19,1315,74337
18/05/2022,24/05/2022,6,216,130808
18/05/2022,24/05/2022,21,252,303752
18/05/2022,24/05/2022,48,678,164185
18/05/2022,24/05/2022,53,1293,166782
18/05/2022,24/05/2022,19,1605,79387
25/05/2022,31/05/2022,6,1047,139790
25/05/2022,31/05/2022,21,1460,113982
25/05/2022,31/05/2022,48,1629,122489
25/05/2022,31/05/2022,53,764,415550
25/05/2022,31/05/2022,19,549,450020
01/06/2022,07/06/2022,6,804,207799
01/06/2022,07/06/2022,21,1088,70475
01/06/2022,07/06/2022,48,871,372734
01/06/2022,07/06/2022,53,974,124773
01/06/2022,07/06/2022,19,843,137217
08/06/2022,14/06/2022,6,277,405158
08/06/2022,14/06/2022,21,491,358361
08/06/2022,14/06/2022,48,374,308363
08/06/2022,14/06/2022,53,76,172766
08/06/2022,14/06/2022,19,731,166996
6/06/2022,21/06/2022,6,1331,227353
6/06/2022,21/06/2022,21,201,79224
6/06/2022,21/06/2022,48,1600,120990
6/06/2022,21/06/2022,53,281,72883
6/06/2022,21/06/2022,19,344,323806
22/06/2022,28/06/2022,6,472,322156
22/06/2022,28/06/2022,21,140,451578
22/06/2022,28/06/2022,48,1194,30844
22/06/2022,28/06/2022,53,200,68982
22/06/2022,28/06/2022,19,23,285074
29/06/2022,05/07/2022,6,1465,79506
29/06/2022,05/07/2022,21,45,112581
