date_from,date_to,district_in,district_out,district_in_encoded,district_out_encoded,density,subscribers,sms_in ,sms_out ,call_in,call_out ,movement ,average_call_duration
01/01/2020,07/01/2020,Baros,Fuvahmulah,Stonewall,Seabrook,568,179367,43388783,227810458,15835276,10848048,250,799
01/01/2020,07/01/2020,Fuvahmulah,Male,Seabrook,Cremont,464,296361,39964152,82214997,4103719,499340,20,824
01/01/2020,07/01/2020,Fuvahmulah,Maafushi,Seabrook,Portico,464,296361,56028475,16707838,1335246,8195623,433,50
01/01/2020,07/01/2020,Fuvahmulah,Naifaru,Seabrook,Metromic,464,296361,215262940,126944099,17577522,7439687,473,838
01/01/2020,07/01/2020,Fuvahmulah,Baros,Seabrook,Stonewall,464,296361,78769356,22852999,10224552,14862939,138,427
01/01/2020,07/01/2020,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,464,296361,156197453,157554775,3992312,2078000,274,837
08/01/2020,14/01/2020,Male,Male,Cremont,Cremont,1367,301731,197018382,234308863,15020754,7888754,481,863
08/01/2020,14/01/2020,Male,Maafushi,Cremont,Portico,1367,301731,53122522,163682164,12762926,3876910,497,149
08/01/2020,14/01/2020,Male,Naifaru,Cremont,Metromic,1367,301731,202968368,124018202,14116730,8200020,477,165
08/01/2020,14/01/2020,Male,Baros,Cremont,Stonewall,1367,301731,22343922,8480067,5132757,2893603,9,698
08/01/2020,14/01/2020,Male,Fuvahmulah,Cremont,Seabrook,1367,301731,88782032,38437420,5042567,11776482,265,684
08/01/2020,14/01/2020,Maafushi,Male,Portico,Cremont,720,340934,227814783,31256455,5926753,8554077,45,758
08/01/2020,14/01/2020,Maafushi,Maafushi,Portico,Portico,720,340934,28774703,122066724,5231173,8257736,9,711
08/01/2020,14/01/2020,Maafushi,Naifaru,Portico,Metromic,720,340934,49676662,204533832,15710308,8759895,277,671
08/01/2020,14/01/2020,Maafushi,Baros,Portico,Stonewall,720,340934,41040504,62434546,12078578,13791736,443,571
08/01/2020,14/01/2020,Maafushi,Fuvahmulah,Portico,Seabrook,720,340934,145808899,212411805,5456966,5627518,211,793
08/01/2020,14/01/2020,Naifaru,Male,Metromic,Cremont,1228,336556,208505889,89513141,9889447,6956120,171,502
08/01/2020,14/01/2020,Naifaru,Maafushi,Metromic,Portico,1228,336556,209018062,159659901,19305776,11855878,27,174
08/01/2020,14/01/2020,Naifaru,Naifaru,Metromic,Metromic,1228,336556,98564138,45372713,6660437,16260712,130,414
08/01/2020,14/01/2020,Naifaru,Baros,Metromic,Stonewall,1228,336556,66611081,251544114,2545530,11079680,474,159
08/01/2020,14/01/2020,Naifaru,Fuvahmulah,Metromic,Seabrook,1228,336556,202403584,125905989,7817830,7248024,403,192
08/01/2020,14/01/2020,Baros,Male,Stonewall,Cremont,84,496151,47455172,202440957,4357242,12919367,412,587
08/01/2020,14/01/2020,Baros,Maafushi,Stonewall,Portico,84,496151,176639086,168989947,14199073,14523184,324,850
08/01/2020,14/01/2020,Baros,Naifaru,Stonewall,Metromic,84,496151,64045403,194776848,19571665,7756108,331,465
08/01/2020,14/01/2020,Baros,Baros,Stonewall,Stonewall,84,496151,240378552,213341060,15068929,1143363,98,61
08/01/2020,14/01/2020,Baros,Fuvahmulah,Stonewall,Seabrook,84,496151,147985278,89424389,1383233,16898634,377,110
08/01/2020,14/01/2020,Fuvahmulah,Male,Seabrook,Cremont,715,478484,114135613,103093616,9508428,9984131,73,652
08/01/2020,14/01/2020,Fuvahmulah,Maafushi,Seabrook,Portico,715,478484,22424210,220360285,2930520,3359875,25,184
08/01/2020,14/01/2020,Fuvahmulah,Naifaru,Seabrook,Metromic,715,478484,42716774,143461354,5374569,11299373,231,473
08/01/2020,14/01/2020,Fuvahmulah,Baros,Seabrook,Stonewall,715,478484,189520662,188385586,18811166,6055199,98,899
08/01/2020,14/01/2020,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,715,478484,188366605,52231728,8506060,5999581,274,353
15/01/2020,21/01/2020,Male,Male,Cremont,Cremont,932,221312,204162306,34700321,4060522,2725894,345,146
15/01/2020,21/01/2020,Male,Maafushi,Cremont,Portico,932,221312,238100139,24517007,16534444,17924418,292,670
15/01/2020,21/01/2020,Male,Naifaru,Cremont,Metromic,932,221312,196251384,146714616,7595560,6813652,92,487
15/01/2020,21/01/2020,Male,Baros,Cremont,Stonewall,932,221312,65115451,224175012,15095789,4508788,379,362
15/01/2020,21/01/2020,Male,Fuvahmulah,Cremont,Seabrook,932,221312,17487215,53009022,7083734,18265980,77,552
15/01/2020,21/01/2020,Maafushi,Male,Portico,Cremont,1461,113536,1128542,123329113,2678871,7595643,470,561
15/01/2020,21/01/2020,Maafushi,Maafushi,Portico,Portico,1461,113536,46852215,70862819,17828702,12216693,495,562
15/01/2020,21/01/2020,Maafushi,Naifaru,Portico,Metromic,1461,113536,45064533,75068154,7409758,17927500,497,299
15/01/2020,21/01/2020,Maafushi,Baros,Portico,Stonewall,1461,113536,143537237,237552706,15300053,5173873,49,258
15/01/2020,21/01/2020,Maafushi,Fuvahmulah,Portico,Seabrook,1461,113536,121105230,176266862,15673690,1051631,128,18
15/01/2020,21/01/2020,Naifaru,Male,Metromic,Cremont,513,492911,229309775,153121329,3862133,6999703,333,453
15/01/2020,21/01/2020,Naifaru,Maafushi,Metromic,Portico,513,492911,240160126,223483015,6972838,15551322,190,247
15/01/2020,21/01/2020,Naifaru,Naifaru,Metromic,Metromic,513,492911,29918012,4537866,14602065,988922,229,173
15/01/2020,21/01/2020,Naifaru,Baros,Metromic,Stonewall,513,492911,36703615,181721786,3892283,4166813,231,553
15/01/2020,21/01/2020,Naifaru,Fuvahmulah,Metromic,Seabrook,513,492911,184999866,7608622,7573686,4586084,370,232
15/01/2020,21/01/2020,Baros,Male,Stonewall,Cremont,1634,440129,51082189,202295569,7570960,19301943,390,32
15/01/2020,21/01/2020,Baros,Maafushi,Stonewall,Portico,1634,440129,239083018,180840762,2777206,12509109,71,639
15/01/2020,21/01/2020,Baros,Naifaru,Stonewall,Metromic,1634,440129,150076219,115465593,12678476,14048087,257,544
15/01/2020,21/01/2020,Baros,Baros,Stonewall,Stonewall,1634,440129,187456280,157031813,17794879,11137128,470,474
15/01/2020,21/01/2020,Baros,Fuvahmulah,Stonewall,Seabrook,1634,440129,96087039,205980627,17652642,14922939,397,827
15/01/2020,21/01/2020,Fuvahmulah,Male,Seabrook,Cremont,1237,329900,31837569,107592329,192917,3744330,316,95
15/01/2020,21/01/2020,Fuvahmulah,Maafushi,Seabrook,Portico,1237,329900,182093310,235473268,3067927,873979,285,519
15/01/2020,21/01/2020,Fuvahmulah,Naifaru,Seabrook,Metromic,1237,329900,151587025,195355729,12235443,8371734,193,750
15/01/2020,21/01/2020,Fuvahmulah,Baros,Seabrook,Stonewall,1237,329900,190401764,218041534,15364698,5834790,244,500
15/01/2020,21/01/2020,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,1237,329900,155055694,161041027,16087690,14518787,143,897
22/01/2020,28/01/2020,Male,Male,Cremont,Cremont,1243,30326,144619098,1304523,16691660,3471458,157,715
22/01/2020,28/01/2020,Male,Maafushi,Cremont,Portico,1243,30326,420501,229749787,14860818,18349892,422,883
22/01/2020,28/01/2020,Male,Naifaru,Cremont,Metromic,1243,30326,85891300,13194978,13845217,19979508,10,151
22/01/2020,28/01/2020,Male,Baros,Cremont,Stonewall,1243,30326,227614206,65020964,3361675,3017057,24,491
22/01/2020,28/01/2020,Male,Fuvahmulah,Cremont,Seabrook,1243,30326,93341121,146811583,12054812,18648243,93,325
22/01/2020,28/01/2020,Maafushi,Male,Portico,Cremont,1637,127593,33263232,72292350,15247592,14996551,420,886
22/01/2020,28/01/2020,Maafushi,Maafushi,Portico,Portico,1637,127593,171727764,14183821,2299607,2881767,369,858
22/01/2020,28/01/2020,Maafushi,Naifaru,Portico,Metromic,1637,127593,196595611,9381736,11780750,7783068,366,221
22/01/2020,28/01/2020,Maafushi,Baros,Portico,Stonewall,1637,127593,29465762,186783030,3756765,16082361,273,112
22/01/2020,28/01/2020,Maafushi,Fuvahmulah,Portico,Seabrook,1637,127593,250074310,189499605,8141123,1651125,398,521
22/01/2020,28/01/2020,Naifaru,Male,Metromic,Cremont,79,241629,31736905,131050923,9450757,3060229,415,138
22/01/2020,28/01/2020,Naifaru,Maafushi,Metromic,Portico,79,241629,105631508,127408689,10900541,2333327,40,887
22/01/2020,28/01/2020,Naifaru,Naifaru,Metromic,Metromic,79,241629,508460,22191162,10700777,16586226,261,210
22/01/2020,28/01/2020,Naifaru,Baros,Metromic,Stonewall,79,241629,54025070,42499963,10592967,2688893,475,392
22/01/2020,28/01/2020,Naifaru,Fuvahmulah,Metromic,Seabrook,79,241629,200499375,34540249,6856222,6231335,329,298
22/01/2020,28/01/2020,Baros,Male,Stonewall,Cremont,173,194027,191063784,21809235,14693829,3440120,452,694
22/01/2020,28/01/2020,Baros,Maafushi,Stonewall,Portico,173,194027,41851852,10731438,906003,9986748,266,797
22/01/2020,28/01/2020,Baros,Naifaru,Stonewall,Metromic,173,194027,192676784,35035277,7187948,10451250,497,341
22/01/2020,28/01/2020,Baros,Baros,Stonewall,Stonewall,173,194027,210500273,135963492,1675196,9402134,63,577
22/01/2020,28/01/2020,Baros,Fuvahmulah,Stonewall,Seabrook,173,194027,201363662,187592275,411436,8573383,303,648
22/01/2020,28/01/2020,Fuvahmulah,Male,Seabrook,Cremont,1217,382864,144690426,242802764,11412441,5223550,281,877
22/01/2020,28/01/2020,Fuvahmulah,Maafushi,Seabrook,Portico,1217,382864,217292449,87812510,14871699,3854020,194,367
22/01/2020,28/01/2020,Fuvahmulah,Naifaru,Seabrook,Metromic,1217,382864,157571933,27886234,14757550,11997250,227,174
22/01/2020,28/01/2020,Fuvahmulah,Baros,Seabrook,Stonewall,1217,382864,47673964,54494135,16028891,7628787,68,569
22/01/2020,28/01/2020,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,1217,382864,121798621,236339883,16032450,19424949,247,362
29/01/2020,04/02/2020,Male,Male,Cremont,Cremont,542,9603,130253781,232457962,9486330,14639194,74,871
29/01/2020,04/02/2020,Male,Maafushi,Cremont,Portico,542,9603,237620216,101651696,16827659,4435507,369,410
29/01/2020,04/02/2020,Male,Naifaru,Cremont,Metromic,542,9603,171660323,24647939,18563947,10162143,187,836
29/01/2020,04/02/2020,Male,Baros,Cremont,Stonewall,542,9603,106354704,146670295,19890232,13930040,115,677
29/01/2020,04/02/2020,Male,Fuvahmulah,Cremont,Seabrook,542,9603,49332770,1677988,13020292,11302883,338,788
29/01/2020,04/02/2020,Maafushi,Male,Portico,Cremont,967,254314,101712626,224299738,13055981,197221,89,567
29/01/2020,04/02/2020,Maafushi,Maafushi,Portico,Portico,967,254314,109748015,122065909,19063630,249682,205,80
29/01/2020,04/02/2020,Maafushi,Naifaru,Portico,Metromic,967,254314,26486408,231303632,18587702,15152046,158,200
29/01/2020,04/02/2020,Maafushi,Baros,Portico,Stonewall,967,254314,84545297,242240891,2825310,12772820,241,304
29/01/2020,04/02/2020,Maafushi,Fuvahmulah,Portico,Seabrook,967,254314,87375027,244790723,2045848,3982304,146,68
29/01/2020,04/02/2020,Naifaru,Male,Metromic,Cremont,125,72512,125365493,107297331,19368769,13621272,312,652
29/01/2020,04/02/2020,Naifaru,Maafushi,Metromic,Portico,125,72512,1929558,11749404,2906680,15080205,219,651
29/01/2020,04/02/2020,Naifaru,Naifaru,Metromic,Metromic,125,72512,221893375,131272744,13891106,15443175,275,529
29/01/2020,04/02/2020,Naifaru,Baros,Metromic,Stonewall,125,72512,107904312,113923399,7403195,8090771,360,266
29/01/2020,04/02/2020,Naifaru,Fuvahmulah,Metromic,Seabrook,125,72512,1321909,51696238,10810650,18335459,390,615
29/01/2020,04/02/2020,Baros,Male,Stonewall,Cremont,590,215578,214090848,25529377,19631724,15729838,266,245
29/01/2020,04/02/2020,Baros,Maafushi,Stonewall,Portico,590,215578,54485683,49884301,10779781,11239691,154,613
29/01/2020,04/02/2020,Baros,Naifaru,Stonewall,Metromic,590,215578,177154814,35066128,11063016,5825614,102,211
29/01/2020,04/02/2020,Baros,Baros,Stonewall,Stonewall,590,215578,173029656,34389219,11138565,19218467,49,646
29/01/2020,04/02/2020,Baros,Fuvahmulah,Stonewall,Seabrook,590,215578,41004980,80296695,8098504,15952320,376,59
29/01/2020,04/02/2020,Fuvahmulah,Male,Seabrook,Cremont,365,483829,192285591,216984151,3930704,96700,375,642
29/01/2020,04/02/2020,Fuvahmulah,Maafushi,Seabrook,Portico,365,483829,171759394,76650614,19212531,3778089,172,517
29/01/2020,04/02/2020,Fuvahmulah,Naifaru,Seabrook,Metromic,365,483829,36203925,85417106,8492602,5353562,85,175
29/01/2020,04/02/2020,Fuvahmulah,Baros,Seabrook,Stonewall,365,483829,27402975,131790437,15418488,2655148,79,77
29/01/2020,04/02/2020,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,365,483829,9337974,51970912,9580659,634727,159,877
05/02/2020,11/02/2020,Male,Male,Cremont,Cremont,1601,208057,9240897,91061649,11651547,123324,257,451
05/02/2020,11/02/2020,Male,Maafushi,Cremont,Portico,1601,208057,210414527,60492929,10986691,2192081,164,554
05/02/2020,11/02/2020,Male,Naifaru,Cremont,Metromic,1601,208057,87716507,50774,4276546,15573951,238,73
05/02/2020,11/02/2020,Male,Baros,Cremont,Stonewall,1601,208057,107405628,90505832,19920441,12186705,239,362
05/02/2020,11/02/2020,Male,Fuvahmulah,Cremont,Seabrook,1601,208057,72551279,13235430,4164666,3001282,367,425
05/02/2020,11/02/2020,Maafushi,Male,Portico,Cremont,386,62778,190840414,23758838,14240006,18077982,87,148
05/02/2020,11/02/2020,Maafushi,Maafushi,Portico,Portico,386,62778,236019820,127965926,19671583,7922985,30,192
05/02/2020,11/02/2020,Maafushi,Naifaru,Portico,Metromic,386,62778,13742297,116191181,18170471,3168601,0,894
05/02/2020,11/02/2020,Maafushi,Baros,Portico,Stonewall,386,62778,166344025,233516089,2748686,1617460,157,6
05/02/2020,11/02/2020,Maafushi,Fuvahmulah,Portico,Seabrook,386,62778,123297383,151910339,8585702,10722596,110,168
05/02/2020,11/02/2020,Naifaru,Male,Metromic,Cremont,298,392303,27093812,14906460,8658338,6454282,83,604
05/02/2020,11/02/2020,Naifaru,Maafushi,Metromic,Portico,298,392303,188887885,110851752,16868132,17937662,197,393
05/02/2020,11/02/2020,Naifaru,Naifaru,Metromic,Metromic,298,392303,8983099,197274061,3413483,5420693,410,864
05/02/2020,11/02/2020,Naifaru,Baros,Metromic,Stonewall,298,392303,194047858,242271158,2337250,1743914,235,470
05/02/2020,11/02/2020,Naifaru,Fuvahmulah,Metromic,Seabrook,298,392303,204736106,239805850,3030370,3735344,340,340
05/02/2020,11/02/2020,Baros,Male,Stonewall,Cremont,90,193273,14006722,87533006,19726533,2877855,458,480
05/02/2020,11/02/2020,Baros,Maafushi,Stonewall,Portico,90,193273,1204449,197839014,3936923,2050858,233,399
05/02/2020,11/02/2020,Baros,Naifaru,Stonewall,Metromic,90,193273,89222550,100508851,12377882,807241,373,616
05/02/2020,11/02/2020,Baros,Baros,Stonewall,Stonewall,90,193273,41322049,146821603,7813397,16353766,17,8
05/02/2020,11/02/2020,Baros,Fuvahmulah,Stonewall,Seabrook,90,193273,70574487,69675246,8649620,13339040,170,85
05/02/2020,11/02/2020,Fuvahmulah,Male,Seabrook,Cremont,958,30807,157895005,241348783,2373388,19294240,268,232
05/02/2020,11/02/2020,Fuvahmulah,Maafushi,Seabrook,Portico,958,30807,49898428,181391630,2739539,6863864,36,337
05/02/2020,11/02/2020,Fuvahmulah,Naifaru,Seabrook,Metromic,958,30807,8238688,164806408,4325705,624105,26,873
05/02/2020,11/02/2020,Fuvahmulah,Baros,Seabrook,Stonewall,958,30807,178617315,38914047,13282199,8100149,479,62
05/02/2020,11/02/2020,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,958,30807,237470872,226526725,16294859,142867,243,232
12/02/2020,18/02/2020,Male,Male,Cremont,Cremont,124,356799,72930332,162157524,18423177,11969007,294,790
12/02/2020,18/02/2020,Male,Maafushi,Cremont,Portico,124,356799,89550821,175212771,9547857,4557976,20,441
12/02/2020,18/02/2020,Male,Naifaru,Cremont,Metromic,124,356799,99025232,31201328,2139630,19017203,342,613
12/02/2020,18/02/2020,Male,Baros,Cremont,Stonewall,124,356799,211399981,243818615,18900034,15367273,401,880
12/02/2020,18/02/2020,Male,Fuvahmulah,Cremont,Seabrook,124,356799,187974362,62932326,7216906,6568087,203,350
12/02/2020,18/02/2020,Maafushi,Male,Portico,Cremont,296,283119,64610476,58470243,14300389,1432087,110,579
12/02/2020,18/02/2020,Maafushi,Maafushi,Portico,Portico,296,283119,112351114,123985861,5063584,11176031,350,266
12/02/2020,18/02/2020,Maafushi,Naifaru,Portico,Metromic,296,283119,96173307,201352121,17456941,4999414,353,387
12/02/2020,18/02/2020,Maafushi,Baros,Portico,Stonewall,296,283119,187854257,220138756,5747887,11445500,195,694
12/02/2020,18/02/2020,Maafushi,Fuvahmulah,Portico,Seabrook,296,283119,182728577,146775873,12484076,1595268,431,373
12/02/2020,18/02/2020,Naifaru,Male,Metromic,Cremont,1623,279634,4147167,158841494,17776179,9974342,366,778
12/02/2020,18/02/2020,Naifaru,Maafushi,Metromic,Portico,1623,279634,65876922,148220984,19838834,7944540,163,820
12/02/2020,18/02/2020,Naifaru,Naifaru,Metromic,Metromic,1623,279634,124036709,54626050,40564,16764872,312,788
12/02/2020,18/02/2020,Naifaru,Baros,Metromic,Stonewall,1623,279634,171208625,206952089,13619813,5967070,219,880
12/02/2020,18/02/2020,Naifaru,Fuvahmulah,Metromic,Seabrook,1623,279634,18873368,110805369,18514309,9503947,193,231
12/02/2020,18/02/2020,Baros,Male,Stonewall,Cremont,448,159446,222646482,194966248,11076198,14150516,129,733
12/02/2020,18/02/2020,Baros,Maafushi,Stonewall,Portico,448,159446,227911729,130384395,4133040,3956780,232,828
12/02/2020,18/02/2020,Baros,Naifaru,Stonewall,Metromic,448,159446,39468372,200550132,2218165,14911586,176,878
12/02/2020,18/02/2020,Baros,Baros,Stonewall,Stonewall,448,159446,98510499,219760975,1848477,19136902,197,703
12/02/2020,18/02/2020,Baros,Fuvahmulah,Stonewall,Seabrook,448,159446,249838617,126039554,2860268,8493206,252,471
12/02/2020,18/02/2020,Fuvahmulah,Male,Seabrook,Cremont,879,302089,186930232,3708375,10579916,11774988,2,531
12/02/2020,18/02/2020,Fuvahmulah,Maafushi,Seabrook,Portico,879,302089,183954781,165082088,14904603,10725335,249,694
12/02/2020,18/02/2020,Fuvahmulah,Naifaru,Seabrook,Metromic,879,302089,249460194,239444610,11948417,12511047,325,687
12/02/2020,18/02/2020,Fuvahmulah,Baros,Seabrook,Stonewall,879,302089,143066702,127084029,17934602,8193038,315,874
12/02/2020,18/02/2020,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,879,302089,189393594,86051906,14601748,2266109,427,831
19/02/2020,25/02/2020,Male,Male,Cremont,Cremont,554,346145,73211813,7163256,14480008,11328345,71,712
19/02/2020,25/02/2020,Male,Maafushi,Cremont,Portico,554,346145,26879845,19999216,7880084,15235982,412,36
19/02/2020,25/02/2020,Male,Naifaru,Cremont,Metromic,554,346145,37509247,242981756,14833358,8156274,203,884
19/02/2020,25/02/2020,Male,Baros,Cremont,Stonewall,554,346145,130733632,228281260,6523987,5216057,64,590
19/02/2020,25/02/2020,Male,Fuvahmulah,Cremont,Seabrook,554,346145,2152052,73736379,5630022,6022860,330,756
19/02/2020,25/02/2020,Maafushi,Male,Portico,Cremont,384,385526,211411679,16712017,129134,8179405,77,756
19/02/2020,25/02/2020,Maafushi,Maafushi,Portico,Portico,384,385526,81645235,126861386,15718805,8937253,490,782
19/02/2020,25/02/2020,Maafushi,Naifaru,Portico,Metromic,384,385526,156409331,12693538,7098270,3469210,471,217
19/02/2020,25/02/2020,Maafushi,Baros,Portico,Stonewall,384,385526,203997907,37548093,2313362,15943602,306,488
19/02/2020,25/02/2020,Maafushi,Fuvahmulah,Portico,Seabrook,384,385526,193656411,20319075,1175684,11233303,482,585
19/02/2020,25/02/2020,Naifaru,Male,Metromic,Cremont,1659,155073,155061484,208451658,1739300,835756,470,749
19/02/2020,25/02/2020,Naifaru,Maafushi,Metromic,Portico,1659,155073,143641607,174084205,1470370,6423002,445,145
19/02/2020,25/02/2020,Naifaru,Naifaru,Metromic,Metromic,1659,155073,182526347,83207371,19872259,14090763,392,221
19/02/2020,25/02/2020,Naifaru,Baros,Metromic,Stonewall,1659,155073,101199212,57105128,17088477,19499637,10,413
19/02/2020,25/02/2020,Naifaru,Fuvahmulah,Metromic,Seabrook,1659,155073,77075650,73621057,416476,16597218,416,795
19/02/2020,25/02/2020,Baros,Male,Stonewall,Cremont,1396,151938,183913618,86075593,1560442,17129526,287,813
19/02/2020,25/02/2020,Baros,Maafushi,Stonewall,Portico,1396,151938,40395246,197741825,7167090,9287960,25,793
19/02/2020,25/02/2020,Baros,Naifaru,Stonewall,Metromic,1396,151938,177313812,157776143,1072724,11088682,19,46
19/02/2020,25/02/2020,Baros,Baros,Stonewall,Stonewall,1396,151938,156616836,25508834,9418754,15051589,50,105
19/02/2020,25/02/2020,Baros,Fuvahmulah,Stonewall,Seabrook,1396,151938,233521008,237503482,14662849,10858424,363,715
19/02/2020,25/02/2020,Fuvahmulah,Male,Seabrook,Cremont,23,124877,79545014,248565469,19580804,952857,214,638
19/02/2020,25/02/2020,Fuvahmulah,Maafushi,Seabrook,Portico,23,124877,192710067,120545115,13870189,13543141,423,312
19/02/2020,25/02/2020,Fuvahmulah,Naifaru,Seabrook,Metromic,23,124877,194161208,98081108,8249283,16315331,256,313
19/02/2020,25/02/2020,Fuvahmulah,Baros,Seabrook,Stonewall,23,124877,61656514,90332612,3604477,2750626,326,300
19/02/2020,25/02/2020,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,23,124877,45278194,207157297,8789083,4777661,447,106
26/02/2020,03/03/2020,Male,Male,Cremont,Cremont,310,448675,47824592,23516641,18460686,4600708,263,612
26/02/2020,03/03/2020,Male,Maafushi,Cremont,Portico,310,448675,39728920,206853987,8915068,4729948,317,98
26/02/2020,03/03/2020,Male,Naifaru,Cremont,Metromic,310,448675,71591003,177060224,12250100,710784,228,429
26/02/2020,03/03/2020,Male,Baros,Cremont,Stonewall,310,448675,43307917,41946243,465253,2224282,443,54
26/02/2020,03/03/2020,Male,Fuvahmulah,Cremont,Seabrook,310,448675,237050279,80275176,19963846,1653775,153,609
26/02/2020,03/03/2020,Maafushi,Male,Portico,Cremont,1055,418373,110861648,140709716,10710062,5335148,119,689
26/02/2020,03/03/2020,Maafushi,Maafushi,Portico,Portico,1055,418373,84865719,133880094,7394009,1568175,294,362
26/02/2020,03/03/2020,Maafushi,Naifaru,Portico,Metromic,1055,418373,197928072,237192658,7149897,9965200,470,889
26/02/2020,03/03/2020,Maafushi,Baros,Portico,Stonewall,1055,418373,53834133,23283297,7624141,18719422,272,750
26/02/2020,03/03/2020,Maafushi,Fuvahmulah,Portico,Seabrook,1055,418373,221272042,238341099,18517594,1929039,136,622
26/02/2020,03/03/2020,Naifaru,Male,Metromic,Cremont,1203,190895,161789641,157532802,4618519,16196440,3,623
26/02/2020,03/03/2020,Naifaru,Maafushi,Metromic,Portico,1203,190895,131225952,218151143,14621431,9980103,59,167
26/02/2020,03/03/2020,Naifaru,Naifaru,Metromic,Metromic,1203,190895,182995640,201096110,14499675,4954090,408,183
26/02/2020,03/03/2020,Naifaru,Baros,Metromic,Stonewall,1203,190895,223377203,135151348,13299347,13240125,375,779
26/02/2020,03/03/2020,Naifaru,Fuvahmulah,Metromic,Seabrook,1203,190895,91399560,214236975,19708042,16950159,450,82
26/02/2020,03/03/2020,Baros,Male,Stonewall,Cremont,359,202918,247766155,44607907,1853689,5183371,1,773
26/02/2020,03/03/2020,Baros,Maafushi,Stonewall,Portico,359,202918,62866624,210791002,10861762,5090185,17,64
26/02/2020,03/03/2020,Baros,Naifaru,Stonewall,Metromic,359,202918,177955278,124261019,2786868,17433784,151,440
26/02/2020,03/03/2020,Baros,Baros,Stonewall,Stonewall,359,202918,249124418,157175457,13300198,14386195,493,776
26/02/2020,03/03/2020,Baros,Fuvahmulah,Stonewall,Seabrook,359,202918,42357997,7282390,6496164,293780,382,399
26/02/2020,03/03/2020,Fuvahmulah,Male,Seabrook,Cremont,1032,421188,16238709,210730290,18564101,1060444,111,585
26/02/2020,03/03/2020,Fuvahmulah,Maafushi,Seabrook,Portico,1032,421188,38392242,74098705,9855354,8893943,356,34
26/02/2020,03/03/2020,Fuvahmulah,Naifaru,Seabrook,Metromic,1032,421188,89940590,106197649,6109450,15990329,173,892
26/02/2020,03/03/2020,Fuvahmulah,Baros,Seabrook,Stonewall,1032,421188,67760427,241252559,16253366,12543403,313,410
26/02/2020,03/03/2020,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,1032,421188,169298743,154551763,16485122,13088303,21,793
04/03/2020,10/03/2020,Male,Male,Cremont,Cremont,1579,365496,117983356,36323056,1002594,15807119,144,790
04/03/2020,10/03/2020,Male,Maafushi,Cremont,Portico,1579,365496,49794037,35093488,7511422,18269091,150,704
