date,district_in,district_out,district_in_encoded,district_out_encoded,density,subscribers,sms_in ,sms_out ,call_in,call_out ,movement ,average_call_duration
2020-03,Fuvahmulah,Baros,Seabrook,Stonewall,941.666666666667,336613,228982196,288872126,36584545,23246530,388.666666666667,554
2020-03,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,941.666666666667,336613,453591920,468294321,5291950,12157718,266,557.666666666667
2020-03,Fuvahmulah,Maafushi,Seabrook,Portico,941.666666666667,336613,414516974,465855327,18258004,33679293,212,647
2020-03,Fuvahmulah,Male,Seabrook,Cremont,941.666666666667,336613,365890236,363105884,36638246,35266202,252.666666666667,578
2020-03,Fuvahmulah,Naifaru,Seabrook,Metromic,941.666666666667,336613,453931349,566116484,20705966,21579014,51,314
2020-03,Maafushi,Baros,Portico,Stonewall,633.666666666667,402356,394610790,469350626,17845628,23231756,216,504.666666666667
2020-03,Maafushi,Fuvahmulah,Portico,Seabrook,633.666666666667,402356,407540202,385476408,50828152,27261346,227,118.333333333333
2020-03,Maafushi,Maafushi,Portico,Portico,633.666666666667,402356,330660458,169116072,42394559,31843649,212,548.666666666667
2020-03,Maafushi,Male,Portico,Cremont,633.666666666667,402356,419434101,672792831,13632999,37638501,225.333333333333,396
2020-03,Maafushi,Naifaru,Portico,Metromic,633.666666666667,402356,329016489,335829855,21221328,34299217,346.666666666667,676.666666666667
2020-03,Male,Baros,Cremont,Stonewall,1126,189461,313634161,263444159,41065215,29699022,199.333333333333,396
2020-03,Male,Fuvahmulah,Cremont,Seabrook,1126,189461,288869689,232833215,38665096,19084034,296.333333333333,438.333333333333
2020-03,Male,Maafushi,Cremont,Portico,1126,189461,416245246,339672314,30508420,36155823,263,353.333333333333
2020-03,Male,Male,Cremont,Cremont,1126,189461,501828353,122219255,45064404,32830737,278.666666666667,491.666666666667
2020-03,Male,Naifaru,Cremont,Metromic,1126,189461,633047848,284218103,15133791,30805846,193.333333333333,434.666666666667
2020-03,Naifaru,Baros,Metromic,Stonewall,744.666666666667,286325,557573440,338863424,28021811,27856301,289,369
2020-03,Naifaru,Fuvahmulah,Metromic,Seabrook,744.666666666667,286325,289252110,323521149,13997827,29287209,358.666666666667,286
2020-03,Naifaru,Maafushi,Metromic,Portico,744.666666666667,286325,552012110,437211489,38202611,14999715,129,557.333333333333
2020-03,Naifaru,Male,Metromic,Cremont,744.666666666667,286325,465248043,325530457,27988956,21721445,215.666666666667,479.333333333333
2020-03,Naifaru,Naifaru,Metromic,Metromic,744.666666666667,286325,421031757,371503547,30228215,34287823,281,513.666666666667
2020-04,Baros,Baros,Stonewall,Stonewall,1062.6,275340.8,796174239,386155834,41409211,44837583,401.2,355.6
2020-04,Baros,Fuvahmulah,Stonewall,Seabrook,1062.6,275340.8,724003584,647832452,43638607,34369057,245.6,291.6
2020-04,Baros,Maafushi,Stonewall,Portico,1062.6,275340.8,680813633,591481252,48556798,51654227,202.2,452
2020-04,Baros,Male,Stonewall,Cremont,1062.6,275340.8,517855294,962918676,49486091,54013018,242.4,352.6
2020-04,Baros,Naifaru,Stonewall,Metromic,1062.6,275340.8,706538525,536120761,34235589,19236249,195,557
2020-04,Fuvahmulah,Baros,Seabrook,Stonewall,1129.2,255175.6,741266488,600480100,67643776,42459950,272.2,354.6
2020-04,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,1129.2,255175.6,795250532,525610917,44519128,56867639,298.6,434.8
2020-04,Fuvahmulah,Maafushi,Seabrook,Portico,1129.2,255175.6,645522107,566576660,57699712,49062442,224.4,760.4
2020-04,Fuvahmulah,Male,Seabrook,Cremont,1129.2,255175.6,698424979,863403590,58631985,42931075,282.8,228.6
2020-04,Fuvahmulah,Naifaru,Seabrook,Metromic,1129.2,255175.6,523595330,707197590,64423430,52276608,297,573.8
2020-04,Maafushi,Baros,Portico,Stonewall,387.6,287518.2,719164792,631340661,62289193,58171882,207.8,297.6
2020-04,Maafushi,Fuvahmulah,Portico,Seabrook,387.6,287518.2,894893661,273680135,50369441,49379954,305.8,582.4
2020-04,Maafushi,Maafushi,Portico,Portico,387.6,287518.2,842220076,842291360,36472608,58937674,289,501.6
2020-04,Maafushi,Male,Portico,Cremont,387.6,287518.2,568008357,665971796,51852019,49022893,232.8,252.8
2020-04,Maafushi,Naifaru,Portico,Metromic,387.6,287518.2,826585356,605504284,68825071,33726628,221.8,747.6
2020-04,Male,Baros,Cremont,Stonewall,573.2,300945.8,697418275,719196723,59790182,41525345,163.2,481.4
2020-04,Male,Fuvahmulah,Cremont,Seabrook,573.2,300945.8,816479539,707236490,53583144,68613618,225.6,507.2
2020-04,Male,Maafushi,Cremont,Portico,573.2,300945.8,456365252,616492523,55225433,64033389,218.6,610.8
2020-04,Male,Male,Cremont,Cremont,573.2,300945.8,813039125,595140632,29746441,73132185,241.6,397.4
2020-04,Male,Naifaru,Cremont,Metromic,573.2,300945.8,472446733,425569673,34463127,61389559,278.2,489.8
2020-04,Naifaru,Baros,Metromic,Stonewall,870.4,298856.6,645460227,791674746,55390320,50984761,201.2,486.8
2020-04,Naifaru,Fuvahmulah,Metromic,Seabrook,870.4,298856.6,745383327,728605682,60583661,69692586,221.2,442
2020-04,Naifaru,Maafushi,Metromic,Portico,870.4,298856.6,591243654,726238055,69705820,54764995,250.6,510.6
2020-04,Naifaru,Male,Metromic,Cremont,870.4,298856.6,827032134,658826255,44884598,31631395,167.4,512.4
2020-04,Naifaru,Naifaru,Metromic,Metromic,870.4,298856.6,702877648,276335030,45474554,49885519,398.2,424
2020-05,Baros,Baros,Stonewall,Stonewall,838.2,172298.6,451899417,926843224,43879672,46738344,303,319.6
2020-05,Baros,Fuvahmulah,Stonewall,Seabrook,838.2,172298.6,572187666,509484893,49489096,53834167,149.4,590.8
2020-05,Baros,Maafushi,Stonewall,Portico,838.2,172298.6,343390282,632672871,41092129,17863108,265.6,296.4
2020-05,Baros,Male,Stonewall,Cremont,838.2,172298.6,773186980,472634244,52211807,35108155,300.8,548.2
2020-05,Baros,Naifaru,Stonewall,Metromic,838.2,172298.6,880268721,347024222,69720887,20905191,349.4,569
2020-05,Fuvahmulah,Baros,Seabrook,Stonewall,773.4,94351.8,861880064,626340300,32553202,59656286,261,201.2
2020-05,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,773.4,94351.8,562117068,875193279,58107796,46670884,245.6,455.2
2020-05,Fuvahmulah,Maafushi,Seabrook,Portico,773.4,94351.8,558688886,512167032,34747334,63092655,128.6,207.4
2020-05,Fuvahmulah,Male,Seabrook,Cremont,773.4,94351.8,846764856,584245841,53473058,68440816,225.2,355.2
2020-05,Fuvahmulah,Naifaru,Seabrook,Metromic,773.4,94351.8,459833555,485678107,55235152,22094138,205.2,530.2
2020-05,Maafushi,Baros,Portico,Stonewall,606.6,292827,900633274,705775015,20417590,37538797,159.6,186.2
2020-05,Maafushi,Fuvahmulah,Portico,Seabrook,606.6,292827,866691502,575957603,43473198,37809815,193.8,422.8
2020-05,Maafushi,Maafushi,Portico,Portico,606.6,292827,786082185,771849845,49666801,46380701,233,322
2020-05,Maafushi,Male,Portico,Cremont,606.6,292827,587120676,392358505,40105994,56852320,171,435.8
2020-05,Maafushi,Naifaru,Portico,Metromic,606.6,292827,329792946,712432802,47055270,44524008,218.4,362
2020-05,Male,Baros,Cremont,Stonewall,844.4,287902.6,440581510,592480453,39913779,34925977,188.6,449.6
2020-05,Male,Fuvahmulah,Cremont,Seabrook,844.4,287902.6,426320785,522404129,38857949,69158000,269,568.8
2020-05,Male,Maafushi,Cremont,Portico,844.4,287902.6,685756320,319979430,45261590,49731813,277.6,558.8
2020-05,Male,Male,Cremont,Cremont,844.4,287902.6,557113238,547958516,38971885,23492995,330.2,320.8
2020-05,Male,Naifaru,Cremont,Metromic,844.4,287902.6,818870318,533178670,51785787,56574674,210.6,438.4
2020-05,Naifaru,Baros,Metromic,Stonewall,675.8,206454.6,616764057,860610097,52200103,41943950,180.8,390
2020-05,Naifaru,Fuvahmulah,Metromic,Seabrook,675.8,206454.6,907127205,905510198,54649948,25159270,354.8,667
2020-05,Naifaru,Maafushi,Metromic,Portico,675.8,206454.6,778349197,763850397,35529769,39365008,275.8,195.8
2020-05,Naifaru,Male,Metromic,Cremont,675.8,206454.6,286207223,842683404,51829434,34891231,255.6,511.4
2020-05,Naifaru,Naifaru,Metromic,Metromic,675.8,206454.6,498896327,693652288,43778016,32692149,324.4,563.2
2020-06,Baros,Baros,Stonewall,Stonewall,937.333333333333,273627.666666667,384556645,254251036,42863399,26719888,213.666666666667,584.333333333333
2020-06,Baros,Fuvahmulah,Stonewall,Seabrook,937.333333333333,273627.666666667,238845746,150670594,30272792,25738637,385,650.666666666667
2020-06,Baros,Maafushi,Stonewall,Portico,937.333333333333,273627.666666667,399619602,469849612,42448597,44863763,177,397
2020-06,Baros,Male,Stonewall,Cremont,937.333333333333,273627.666666667,358090178,413517806,36307423,23070182,207,746.333333333333
2020-06,Baros,Naifaru,Stonewall,Metromic,937.333333333333,273627.666666667,574353974,270257766,43076596,43112295,133,386.333333333333
2020-06,Fuvahmulah,Baros,Seabrook,Stonewall,858.666666666667,195017.333333333,284441627,255080492,38454676,25952739,299.666666666667,623
2020-06,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,858.666666666667,195017.333333333,562440759,548199434,48250315,32384031,208.333333333333,490
2020-06,Fuvahmulah,Maafushi,Seabrook,Portico,858.666666666667,195017.333333333,343705403,486057506,17840895,28880957,313.666666666667,385.666666666667
2020-06,Fuvahmulah,Male,Seabrook,Cremont,858.666666666667,195017.333333333,416582212,513000784,19449788,15760016,262,512.333333333333
2020-06,Fuvahmulah,Naifaru,Seabrook,Metromic,858.666666666667,195017.333333333,533086597,187536446,28841841,10570542,381.333333333333,400.333333333333
2020-06,Maafushi,Baros,Portico,Stonewall,802.666666666667,208744.333333333,444045313,420651827,31319947,35889880,265.333333333333,309
2020-06,Maafushi,Fuvahmulah,Portico,Seabrook,802.666666666667,208744.333333333,247459965,127143201,39497249,12568501,244.333333333333,297
2020-06,Maafushi,Maafushi,Portico,Portico,802.666666666667,208744.333333333,122043401,418786957,32800451,23083704,301.666666666667,392.333333333333
2020-06,Maafushi,Male,Portico,Cremont,802.666666666667,208744.333333333,159142678,299523495,32176418,23423482,317,258
2020-06,Maafushi,Naifaru,Portico,Metromic,802.666666666667,208744.333333333,497932411,366224580,39117672,14161982,143.333333333333,359.333333333333
2020-06,Male,Baros,Cremont,Stonewall,1253.66666666667,268173.333333333,181585683,398817500,26971472,39293935,178.666666666667,580.666666666667
2020-06,Male,Fuvahmulah,Cremont,Seabrook,1253.66666666667,268173.333333333,296736896,471994952,32029660,28303750,195,607.333333333333
2020-06,Male,Maafushi,Cremont,Portico,1253.66666666667,268173.333333333,235670226,529921854,19395627,19104401,278.666666666667,212
2020-06,Male,Male,Cremont,Cremont,1253.66666666667,268173.333333333,516500636,224065492,21127122,37156175,241.333333333333,370.333333333333
2020-06,Male,Naifaru,Cremont,Metromic,1253.66666666667,268173.333333333,437835238,361570930,41948615,21502196,320.666666666667,392.666666666667
2020-06,Naifaru,Baros,Metromic,Stonewall,342,342220.666666667,163275700,461211011,49591657,41117793,331,369.666666666667
2020-06,Naifaru,Fuvahmulah,Metromic,Seabrook,342,342220.666666667,370109742,408007698,45290701,27550507,91,543
2020-06,Naifaru,Maafushi,Metromic,Portico,342,342220.666666667,394497911,309262685,49429285,20773060,188,340.333333333333
2020-06,Naifaru,Male,Metromic,Cremont,342,342220.666666667,277820581,336252668,22104987,45397872,248.333333333333,494.666666666667
2020-06,Naifaru,Naifaru,Metromic,Metromic,342,342220.666666667,255947367,320806548,11154754,33430336,164.333333333333,104.333333333333
2020-07,Baros,Baros,Stonewall,Stonewall,562.25,185426.75,616530704,366704774,52390764,74030544,158.75,482
2020-07,Baros,Fuvahmulah,Stonewall,Seabrook,562.25,185426.75,448309344,206699957,47094217,31823344,272,645.5
2020-07,Baros,Maafushi,Stonewall,Portico,562.25,185426.75,391765905,390431411,39347696,26885831,219.5,400
2020-07,Baros,Male,Stonewall,Cremont,562.25,185426.75,613203271,453438014,42800372,60746975,307.5,221.25
2020-07,Baros,Naifaru,Stonewall,Metromic,562.25,185426.75,329754356,522079945,47165416,57793136,281.75,439.25
2020-07,Fuvahmulah,Baros,Seabrook,Stonewall,365.5,292698.5,371869213,468837532,25255142,40110833,266.75,298.25
2020-07,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,365.5,292698.5,329947936,472531082,47647203,58025338,289.5,641.25
2020-07,Fuvahmulah,Maafushi,Seabrook,Portico,365.5,292698.5,433345994,327945323,66706140,42798716,171,366.25
2020-07,Fuvahmulah,Male,Seabrook,Cremont,365.5,292698.5,815835871,464528687,37127878,51982147,312.5,495.5
2020-07,Fuvahmulah,Naifaru,Seabrook,Metromic,365.5,292698.5,465342416,348129180,52095110,36726368,178.5,443
2020-07,Maafushi,Baros,Portico,Stonewall,673.25,291371.5,580520062,409179792,30709071,46543076,216,643.5
2020-07,Maafushi,Fuvahmulah,Portico,Seabrook,673.25,291371.5,543373215,408858461,40883102,28595307,141.5,238
2020-07,Maafushi,Maafushi,Portico,Portico,673.25,291371.5,433147615,709601260,33776195,49907940,268,322.5
2020-07,Maafushi,Male,Portico,Cremont,673.25,291371.5,638685652,697713761,71743938,56138145,175.75,375.5
2020-07,Maafushi,Naifaru,Portico,Metromic,673.25,291371.5,414428943,552515506,40939435,27135442,294,465.25
2020-07,Male,Baros,Cremont,Stonewall,589.5,334044,432788169,470558398,35605028,36008455,253.25,186
2020-07,Male,Fuvahmulah,Cremont,Seabrook,589.5,334044,480881439,346695183,43836826,37325641,355,510.5
2020-07,Male,Maafushi,Cremont,Portico,589.5,334044,263541482,341835291,53395111,36153552,306.25,592.5
2020-07,Male,Male,Cremont,Cremont,589.5,334044,650955441,373800787,48884630,39035909,288.25,532.5
2020-07,Male,Naifaru,Cremont,Metromic,589.5,334044,572868067,279638584,51119348,52415587,184.25,425.75
2020-07,Naifaru,Baros,Metromic,Stonewall,955.25,208518.75,376282664,481965290,50368526,41623569,374.75,578.5
2020-07,Naifaru,Fuvahmulah,Metromic,Seabrook,955.25,208518.75,271664809,307771353,27839920,39258733,240.75,454
2020-07,Naifaru,Maafushi,Metromic,Portico,955.25,208518.75,171608634,429329135,33563744,38133574,401,346
2020-07,Naifaru,Male,Metromic,Cremont,955.25,208518.75,560274694,507472809,16070198,37239653,364.75,390.5
2020-07,Naifaru,Naifaru,Metromic,Metromic,955.25,208518.75,713571322,493634216,60387156,40532361,240.5,684.5
2020-08,Baros,Baros,Stonewall,Stonewall,509,316904,709372800,785737477,49065754,61340073,243.6,284.4
2020-08,Baros,Fuvahmulah,Stonewall,Seabrook,509,316904,716482435,387998118,33979516,52133308,314.4,299.8
2020-08,Baros,Maafushi,Stonewall,Portico,509,316904,649978633,721104286,57840335,42026895,300.4,458.8
2020-08,Baros,Male,Stonewall,Cremont,509,316904,730700376,835293604,38877378,57073599,127.2,425.2
2020-08,Baros,Naifaru,Stonewall,Metromic,509,316904,547841728,512470266,42107195,37383320,200,556.6
2020-08,Fuvahmulah,Baros,Seabrook,Stonewall,746,439315,659467040,916109377,55067501,54059421,223.2,617.2
2020-08,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,746,439315,658149047,564086078,56789314,38514143,330.6,489.4
2020-08,Fuvahmulah,Maafushi,Seabrook,Portico,746,439315,469884023,595702597,49090973,37167337,184.8,276.6
2020-08,Fuvahmulah,Male,Seabrook,Cremont,746,439315,726041913,744424038,31047308,69420970,180.4,532
2020-08,Fuvahmulah,Naifaru,Seabrook,Metromic,746,439315,686791471,791320557,46820309,53005425,209.8,278
2020-08,Maafushi,Baros,Portico,Stonewall,1063.2,272602.8,591192672,625508080,47714371,53638943,270.2,619.8
2020-08,Maafushi,Fuvahmulah,Portico,Seabrook,1063.2,272602.8,496091975,632304960,41409628,26130076,366.6,387.4
2020-08,Maafushi,Maafushi,Portico,Portico,1063.2,272602.8,486996280,484074177,58339835,35957585,195.6,573.2
2020-08,Maafushi,Male,Portico,Cremont,1063.2,272602.8,793801541,501424922,38013666,62822812,341.4,511.2
2020-08,Maafushi,Naifaru,Portico,Metromic,1063.2,272602.8,496541567,840575678,78790902,47444241,277.2,448
2020-08,Male,Baros,Cremont,Stonewall,717.8,249634.4,488922675,406495590,36365461,37016136,193,505.8
2020-08,Male,Fuvahmulah,Cremont,Seabrook,717.8,249634.4,644148329,470313804,50422308,49854603,346.6,496.6
2020-08,Male,Maafushi,Cremont,Portico,717.8,249634.4,416935759,643051373,55830764,55223329,278.6,370.6
2020-08,Male,Male,Cremont,Cremont,717.8,249634.4,738711626,626704878,26187392,37596888,334.6,562
2020-08,Male,Naifaru,Cremont,Metromic,717.8,249634.4,535949855,682178250,49567036,56210532,333.2,437.8
2020-08,Naifaru,Baros,Metromic,Stonewall,1303.4,213388.6,552996310,859216445,51824311,40629946,380.8,310.2
2020-08,Naifaru,Fuvahmulah,Metromic,Seabrook,1303.4,213388.6,824776034,580843208,51245194,64698209,264,232.6
2020-08,Naifaru,Maafushi,Metromic,Portico,1303.4,213388.6,716593882,549734505,41052049,56346881,159.8,346.2
2020-08,Naifaru,Male,Metromic,Cremont,1303.4,213388.6,727922870,561849635,56014542,48174407,185.2,549
2020-08,Naifaru,Naifaru,Metromic,Metromic,1303.4,213388.6,577315440,624072955,42191986,48979509,187.2,253.6
2020-09,Baros,Baros,Stonewall,Stonewall,570.8,200049.4,651992390,875999701,74851712,44771381,365,527.4
2020-09,Baros,Fuvahmulah,Stonewall,Seabrook,570.8,200049.4,565131638,567443959,67900012,36505868,304.4,569.2
2020-09,Baros,Maafushi,Stonewall,Portico,570.8,200049.4,317334982,662782373,66231907,54668353,219,714
2020-09,Baros,Male,Stonewall,Cremont,570.8,200049.4,585646412,688960523,52011749,45919412,194.6,641.4
2020-09,Baros,Naifaru,Stonewall,Metromic,570.8,200049.4,615716394,335263928,54948716,47131836,162.2,216.2
2020-09,Fuvahmulah,Baros,Seabrook,Stonewall,1000.8,365904.8,954655526,587902883,34112172,66808247,213.4,485.6
2020-09,Fuvahmulah,Fuvahmulah,Seabrook,Seabrook,1000.8,365904.8,543200034,696077146,39598139,60888385,287,371.4
2020-09,Fuvahmulah,Maafushi,Seabrook,Portico,1000.8,365904.8,467961718,798901479,67573920,51534238,145.8,395.2
2020-09,Fuvahmulah,Male,Seabrook,Cremont,1000.8,365904.8,466537449,717556737,22936358,34056198,264.2,309.8
2020-09,Fuvahmulah,Naifaru,Seabrook,Metromic,1000.8,365904.8,557856092,733432850,58994578,13986438,213.2,703.8
2020-09,Maafushi,Baros,Portico,Stonewall,660,231107.8,838219399,687451955,32533811,67985831,206.2,431.8
2020-09,Maafushi,Fuvahmulah,Portico,Seabrook,660,231107.8,589230436,692664095,39086207,55893868,123,508
2020-09,Maafushi,Maafushi,Portico,Portico,660,231107.8,571180853,542733080,30155330,38202387,164.8,471.8
2020-09,Maafushi,Male,Portico,Cremont,660,231107.8,533948116,747757266,58250163,31195851,351.4,533.4
2020-09,Maafushi,Naifaru,Portico,Metromic,660,231107.8,839001354,569965583,76630488,64780733,231.4,431.4
2020-09,Male,Baros,Cremont,Stonewall,430.4,283998.6,716611270,630661553,59847644,37576826,354.4,612
2020-09,Male,Fuvahmulah,Cremont,Seabrook,430.4,283998.6,416922967,496781742,46802389,63472518,262.8,596.6
2020-09,Male,Maafushi,Cremont,Portico,430.4,283998.6,709530726,395630638,20033866,62317714,298.2,468.8
2020-09,Male,Male,Cremont,Cremont,430.4,283998.6,722399141,512103559,62870635,37966720,213,331.4
2020-09,Male,Naifaru,Cremont,Metromic,430.4,283998.6,582915631,684236108,48987028,37997952,260,298.4
2020-09,Naifaru,Baros,Metromic,Stonewall,955.4,262702.8,943071506,449511678,22786933,37703134,160.6,452.8
2020-09,Naifaru,Fuvahmulah,Metromic,Seabrook,955.4,262702.8,720468579,265588938,72250468,59716981,226.6,362
2020-09,Naifaru,Maafushi,Metromic,Portico,955.4,262702.8,566169002,918806457,58332828,25681555,186.2,310
2020-09,Naifaru,Male,Metromic,Cremont,955.4,262702.8,620808940,362195653,39887184,56042310,326.4,555.2
2020-09,Naifaru,Naifaru,Metromic,Metromic,955.4,262702.8,609858428,902719200,36258700,77855476,244.2,747.8
2020-10,Baros,Baros,Stonewall,Stonewall,352.25,206978.75,613258378,487245006,15674011,18608247,316.75,422
2020-10,Baros,Fuvahmulah,Stonewall,Seabrook,352.25,206978.75,688089162,779574719,43442152,45195669,347.25,493.75
2020-10,Baros,Maafushi,Stonewall,Portico,352.25,206978.75,571998977,551078953,49731340,46498740,88.25,439.5
2020-10,Baros,Male,Stonewall,Cremont,352.25,206978.75,267170821,154819616,39092149,34650441,215.5,509.5
